Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
KEGG_SPLICEOSOME	120	-0.503133195482254	-2.27920360019357	2.89981487268695e-10	5.01667972974843e-08	3.9986920875999e-08	4882	tags=61%, list=32%, signal=42%	ENSG00000128534/ENSG00000079134/ENSG00000105618/ENSG00000171566/ENSG00000162385/ENSG00000150316/ENSG00000139343/ENSG00000263465/ENSG00000110107/ENSG00000132792/ENSG00000189091/ENSG00000134748/ENSG00000100650/ENSG00000165630/ENSG00000170860/ENSG00000174243/ENSG00000125870/ENSG00000165119/ENSG00000160799/ENSG00000204560/ENSG00000141759/ENSG00000111196/ENSG00000147274/ENSG00000106355/ENSG00000100028/ENSG00000099783/ENSG00000100410/ENSG00000113649/ENSG00000153187/ENSG00000136527/ENSG00000143368/ENSG00000112081/ENSG00000161547/ENSG00000136875/ENSG00000188529/ENSG00000104852/ENSG00000111786/ENSG00000117360/ENSG00000204392/ENSG00000170144/ENSG00000102103/ENSG00000067596/ENSG00000145833/ENSG00000119953/ENSG00000136937/ENSG00000101343/ENSG00000168883/ENSG00000164167/ENSG00000115128/ENSG00000204390/ENSG00000115875/ENSG00000115524/ENSG00000108883/ENSG00000198231/ENSG00000183431/ENSG00000109971/ENSG00000060688/ENSG00000167088/ENSG00000096401/ENSG00000204388/ENSG00000021776/ENSG00000137168/ENSG00000114503/ENSG00000146007/ENSG00000204389/ENSG00000092199/ENSG00000163714/ENSG00000116752/ENSG00000182004/ENSG00000134186/ENSG00000108654/ENSG00000196504/ENSG00000119707
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	103	0.475528519527502	2.13961811140043	1.49464363074876e-07	1.29286674059768e-05	1.03051745067415e-05	4282	tags=57%, list=28%, signal=41%	ENSG00000180573/ENSG00000204257/ENSG00000270276/ENSG00000277775/ENSG00000124635/ENSG00000273703/ENSG00000278828/ENSG00000244682/ENSG00000288859/ENSG00000278705/ENSG00000158373/ENSG00000197238/ENSG00000158406/ENSG00000276966/ENSG00000185130/ENSG00000274618/ENSG00000273542/ENSG00000287080/ENSG00000197903/ENSG00000273983/ENSG00000180596/ENSG00000275379/ENSG00000196747/ENSG00000184260/ENSG00000286522/ENSG00000197153/ENSG00000203811/ENSG00000278677/ENSG00000277157/ENSG00000276180/ENSG00000184678/ENSG00000072694/ENSG00000273802/ENSG00000203852/ENSG00000196787/ENSG00000183598/ENSG00000184270/ENSG00000275714/ENSG00000143226/ENSG00000276903/ENSG00000197837/ENSG00000278588/ENSG00000274641/ENSG00000277075/ENSG00000274997/ENSG00000197061/ENSG00000072110/ENSG00000270882/ENSG00000203814/ENSG00000132109/ENSG00000188486/ENSG00000232810/ENSG00000196890/ENSG00000130402/ENSG00000275713/ENSG00000277224/ENSG00000275221/ENSG00000233822/ENSG00000276368
KEGG_PROTEASOME	41	-0.598746400238438	-2.18274342764311	6.28046797409851e-06	0.000362173653173014	0.000288681159511195	3728	tags=61%, list=24%, signal=46%	ENSG00000129084/ENSG00000165916/ENSG00000103035/ENSG00000175166/ENSG00000008018/ENSG00000087191/ENSG00000108671/ENSG00000100567/ENSG00000161057/ENSG00000101182/ENSG00000041357/ENSG00000185627/ENSG00000068878/ENSG00000136930/ENSG00000100804/ENSG00000100911/ENSG00000131467/ENSG00000125818/ENSG00000115233/ENSG00000173692/ENSG00000100519/ENSG00000163636/ENSG00000143106/ENSG00000127922/ENSG00000197170
KEGG_CHEMOKINE_SIGNALING_PATHWAY	126	0.359676987512104	1.6809751250547	0.000306208936346234	0.0132435364969746	0.0105561501740412	2734	tags=32%, list=18%, signal=26%	ENSG00000172354/ENSG00000121281/ENSG00000173020/ENSG00000099942/ENSG00000102882/ENSG00000105221/ENSG00000114353/ENSG00000158517/ENSG00000198055/ENSG00000173039/ENSG00000128340/ENSG00000184451/ENSG00000174233/ENSG00000149782/ENSG00000089159/ENSG00000269335/ENSG00000142208/ENSG00000137841/ENSG00000163932/ENSG00000176533/ENSG00000275302/ENSG00000141480/ENSG00000198873/ENSG00000000938/ENSG00000124126/ENSG00000141968/ENSG00000174775/ENSG00000078369/ENSG00000277632/ENSG00000169032/ENSG00000151882/ENSG00000050820/ENSG00000177885/ENSG00000167083/ENSG00000100077/ENSG00000015285/ENSG00000121966/ENSG00000174021/ENSG00000183943/ENSG00000160293
KEGG_VEGF_SIGNALING_PATHWAY	53	0.453675965504936	1.8083661462243	0.000638214750826175	0.0157730216989898	0.0125723507305607	2478	tags=38%, list=16%, signal=32%	ENSG00000112715/ENSG00000102882/ENSG00000184381/ENSG00000105221/ENSG00000106211/ENSG00000188130/ENSG00000128340/ENSG00000089159/ENSG00000142208/ENSG00000131196/ENSG00000124181/ENSG00000100968/ENSG00000027869/ENSG00000185386/ENSG00000174775/ENSG00000002330/ENSG00000169032/ENSG00000126934/ENSG00000101096/ENSG00000188089
KEGG_GNRH_SIGNALING_PATHWAY	67	0.426611003055817	1.78800799811319	0.000530998171235137	0.0157730216989898	0.0125723507305607	2940	tags=40%, list=19%, signal=33%	ENSG00000166484/ENSG00000121281/ENSG00000102882/ENSG00000184381/ENSG00000096433/ENSG00000188130/ENSG00000174233/ENSG00000128272/ENSG00000160014/ENSG00000149782/ENSG00000137841/ENSG00000163932/ENSG00000157388/ENSG00000185386/ENSG00000076984/ENSG00000174775/ENSG00000113070/ENSG00000169032/ENSG00000177606/ENSG00000198909/ENSG00000177885/ENSG00000034152/ENSG00000126934/ENSG00000188089/ENSG00000183943/ENSG00000095015/ENSG00000148660
KEGG_MAPK_SIGNALING_PATHWAY	190	0.313228298791606	1.54554260902695	0.000634953625889196	0.0157730216989898	0.0125723507305607	2508	tags=29%, list=16%, signal=24%	ENSG00000166484/ENSG00000175197/ENSG00000099942/ENSG00000102882/ENSG00000184381/ENSG00000167535/ENSG00000067191/ENSG00000105221/ENSG00000106211/ENSG00000168067/ENSG00000143507/ENSG00000173039/ENSG00000188130/ENSG00000128340/ENSG00000128272/ENSG00000151062/ENSG00000269335/ENSG00000138834/ENSG00000142208/ENSG00000120875/ENSG00000100968/ENSG00000100324/ENSG00000104814/ENSG00000141480/ENSG00000119699/ENSG00000127191/ENSG00000157388/ENSG00000077782/ENSG00000105329/ENSG00000185386/ENSG00000165995/ENSG00000158050/ENSG00000076984/ENSG00000174775/ENSG00000120129/ENSG00000169032/ENSG00000108861/ENSG00000107968/ENSG00000164086/ENSG00000079277/ENSG00000177606/ENSG00000173327/ENSG00000072133/ENSG00000198909/ENSG00000071242/ENSG00000126458/ENSG00000177885/ENSG00000034152/ENSG00000100311/ENSG00000099875/ENSG00000126934/ENSG00000172575/ENSG00000101096/ENSG00000188089/ENSG00000170345
KEGG_BASAL_TRANSCRIPTION_FACTORS	30	-0.53018983739716	-1.8050619419253	0.00257075462480459	0.0454001857337009	0.0361875529730138	2418	tags=63%, list=16%, signal=53%	ENSG00000153767/ENSG00000145736/ENSG00000137947/ENSG00000135801/ENSG00000130699/ENSG00000148835/ENSG00000110768/ENSG00000165417/ENSG00000147133/ENSG00000140307/ENSG00000187325/ENSG00000263001/ENSG00000028839/ENSG00000188342/ENSG00000197780/ENSG00000213780/ENSG00000064313/ENSG00000111358/ENSG00000197265
KEGG_RNA_POLYMERASE	27	-0.54578256344102	-1.80227618585923	0.00244889212986307	0.0454001857337009	0.0361875529730138	2396	tags=41%, list=16%, signal=34%	ENSG00000100413/ENSG00000137054/ENSG00000125630/ENSG00000148606/ENSG00000132664/ENSG00000144231/ENSG00000147669/ENSG00000013503/ENSG00000068654/ENSG00000047315/ENSG00000113356
KEGG_PROPANOATE_METABOLISM	31	-0.499881982343028	-1.70724155025	0.00288671701196942	0.0454001857337009	0.0361875529730138	2095	tags=35%, list=14%, signal=31%	ENSG00000278540/ENSG00000172340/ENSG00000164904/ENSG00000136143/ENSG00000127884/ENSG00000114054/ENSG00000163541/ENSG00000113790/ENSG00000183044/ENSG00000072210/ENSG00000175198
KEGG_PARKINSONS_DISEASE	104	-0.349037567105157	-1.54340935251389	0.00270682677714455	0.0454001857337009	0.0361875529730138	3808	tags=42%, list=25%, signal=32%	ENSG00000165629/ENSG00000127184/ENSG00000185345/ENSG00000132906/ENSG00000124172/ENSG00000158828/ENSG00000198804/ENSG00000198727/ENSG00000198763/ENSG00000170315/ENSG00000130414/ENSG00000117118/ENSG00000164405/ENSG00000159199/ENSG00000154723/ENSG00000128609/ENSG00000198840/ENSG00000178741/ENSG00000110955/ENSG00000164258/ENSG00000119013/ENSG00000116459/ENSG00000198888/ENSG00000165264/ENSG00000171497/ENSG00000145494/ENSG00000154518/ENSG00000158864/ENSG00000119421/ENSG00000152234/ENSG00000198938/ENSG00000198712/ENSG00000156467/ENSG00000004779/ENSG00000140740/ENSG00000131174/ENSG00000023228/ENSG00000184787/ENSG00000164919/ENSG00000116288/ENSG00000198786/ENSG00000164305/ENSG00000172115/ENSG00000132388
