Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GARY_CD5_TARGETS_DN	427	-0.60797676899835	-3.08932534264361	4.68170760733939e-53	2.46445088450346e-49	1.88500332611297e-49	4904	tags=53%, list=17%, signal=44%	ENSG00000136897/ENSG00000111196/ENSG00000147274/ENSG00000166598/ENSG00000117899/ENSG00000275052/ENSG00000182180/ENSG00000105185/ENSG00000284024/ENSG00000112312/ENSG00000100028/ENSG00000126814/ENSG00000132341/ENSG00000114767/ENSG00000079785/ENSG00000107164/ENSG00000132475/ENSG00000163939/ENSG00000117280/ENSG00000160688/ENSG00000080608/ENSG00000124228/ENSG00000099783/ENSG00000175305/ENSG00000108389/ENSG00000162695/ENSG00000117009/ENSG00000112081/ENSG00000161547/ENSG00000090520/ENSG00000166170/ENSG00000181610/ENSG00000242485/ENSG00000087191/ENSG00000145331/ENSG00000168439/ENSG00000188529/ENSG00000169299/ENSG00000010165/ENSG00000224078/ENSG00000178741/ENSG00000123213/ENSG00000086475/ENSG00000100592/ENSG00000106305/ENSG00000215421/ENSG00000119812/ENSG00000165688/ENSG00000135829/ENSG00000160818/ENSG00000155329/ENSG00000100347/ENSG00000163376/ENSG00000114013/ENSG00000120948/ENSG00000155096/ENSG00000135249/ENSG00000110768/ENSG00000109534/ENSG00000136933/ENSG00000134697/ENSG00000112365/ENSG00000004961/ENSG00000102103/ENSG00000155097/ENSG00000112701/ENSG00000105993/ENSG00000101391/ENSG00000130348/ENSG00000106591/ENSG00000030066/ENSG00000086200/ENSG00000145833/ENSG00000136937/ENSG00000111361/ENSG00000102317/ENSG00000161057/ENSG00000120158/ENSG00000101182/ENSG00000129048/ENSG00000088205/ENSG00000114491/ENSG00000148429/ENSG00000116455/ENSG00000117228/ENSG00000185728/ENSG00000182481/ENSG00000117133/ENSG00000033050/ENSG00000070061/ENSG00000116754/ENSG00000095794/ENSG00000105576/ENSG00000132313/ENSG00000160075/ENSG00000185627/ENSG00000196510/ENSG00000112208/ENSG00000064703/ENSG00000176788/ENSG00000108424/ENSG00000168421/ENSG00000133313/ENSG00000144218/ENSG00000197601/ENSG00000011376/ENSG00000132467/ENSG00000174842/ENSG00000160208/ENSG00000100804/ENSG00000143569/ENSG00000187325/ENSG00000112096/ENSG00000115946/ENSG00000124787/ENSG00000108064/ENSG00000101361/ENSG00000109586/ENSG00000029363/ENSG00000277161/ENSG00000182551/ENSG00000138398/ENSG00000123505/ENSG00000065150/ENSG00000204388/ENSG00000151576/ENSG00000213341/ENSG00000132434/ENSG00000135655/ENSG00000125818/ENSG00000145740/ENSG00000111142/ENSG00000146731/ENSG00000130935/ENSG00000115514/ENSG00000168827/ENSG00000173692/ENSG00000100519/ENSG00000265972/ENSG00000135341/ENSG00000142864/ENSG00000137055/ENSG00000067334/ENSG00000137168/ENSG00000165572/ENSG00000135930/ENSG00000143756/ENSG00000164902/ENSG00000116750/ENSG00000065183/ENSG00000107949/ENSG00000166197/ENSG00000120694/ENSG00000204389/ENSG00000077232/ENSG00000086061/ENSG00000170606/ENSG00000100941/ENSG00000134758/ENSG00000185721/ENSG00000067248/ENSG00000168259/ENSG00000177613/ENSG00000176124/ENSG00000137752/ENSG00000181991/ENSG00000137074/ENSG00000117395/ENSG00000119912/ENSG00000156256/ENSG00000092199/ENSG00000055044/ENSG00000132463/ENSG00000119285/ENSG00000100478/ENSG00000109133/ENSG00000137040/ENSG00000083312/ENSG00000105849/ENSG00000100664/ENSG00000132953/ENSG00000198791/ENSG00000111845/ENSG00000067533/ENSG00000113356/ENSG00000197045/ENSG00000151239/ENSG00000164338/ENSG00000189369/ENSG00000047410/ENSG00000107815/ENSG00000115970/ENSG00000211460/ENSG00000174173/ENSG00000113643/ENSG00000107651/ENSG00000134186/ENSG00000107937/ENSG00000110172/ENSG00000112249/ENSG00000108094/ENSG00000139372/ENSG00000130119/ENSG00000166181/ENSG00000175054/ENSG00000161813/ENSG00000134001/ENSG00000060339/ENSG00000189266/ENSG00000120705/ENSG00000104131/ENSG00000152147/ENSG00000170903/ENSG00000169508/ENSG00000104381/ENSG00000151304/ENSG00000119707/ENSG00000169288/ENSG00000118246/ENSG00000164151/ENSG00000115816/ENSG00000082153/ENSG00000172785/ENSG00000155100/ENSG00000134987
GARY_CD5_TARGETS_UP	465	0.545285162290047	2.7793687799394	2.48001582465349e-41	6.527401650488e-38	4.99266343647348e-38	3952	tags=43%, list=14%, signal=37%	ENSG00000100075/ENSG00000100300/ENSG00000188157/ENSG00000172354/ENSG00000167513/ENSG00000116273/ENSG00000182866/ENSG00000213445/ENSG00000141858/ENSG00000198911/ENSG00000129353/ENSG00000139269/ENSG00000102125/ENSG00000146112/ENSG00000092621/ENSG00000182054/ENSG00000189077/ENSG00000127663/ENSG00000112715/ENSG00000105281/ENSG00000173020/ENSG00000111674/ENSG00000125657/ENSG00000171791/ENSG00000168209/ENSG00000103507/ENSG00000132128/ENSG00000160410/ENSG00000141959/ENSG00000178999/ENSG00000114353/ENSG00000107341/ENSG00000182199/ENSG00000161013/ENSG00000169442/ENSG00000104894/ENSG00000059804/ENSG00000103145/ENSG00000131408/ENSG00000157303/ENSG00000175482/ENSG00000132471/ENSG00000188677/ENSG00000123143/ENSG00000168488/ENSG00000185236/ENSG00000012124/ENSG00000167895/ENSG00000132182/ENSG00000125726/ENSG00000103510/ENSG00000089327/ENSG00000137880/ENSG00000167106/ENSG00000126522/ENSG00000204228/ENSG00000122884/ENSG00000060491/ENSG00000137575/ENSG00000132510/ENSG00000128272/ENSG00000158195/ENSG00000007944/ENSG00000102144/ENSG00000160014/ENSG00000104765/ENSG00000110711/ENSG00000134532/ENSG00000105516/ENSG00000010256/ENSG00000115756/ENSG00000215845/ENSG00000105220/ENSG00000176978/ENSG00000274211/ENSG00000119655/ENSG00000066336/ENSG00000167470/ENSG00000135069/ENSG00000141503/ENSG00000186951/ENSG00000179820/ENSG00000068305/ENSG00000130479/ENSG00000235453/ENSG00000163870/ENSG00000167522/ENSG00000135925/ENSG00000169093/ENSG00000149150/ENSG00000135473/ENSG00000160200/ENSG00000153879/ENSG00000120306/ENSG00000269404/ENSG00000188493/ENSG00000159753/ENSG00000147852/ENSG00000160285/ENSG00000103202/ENSG00000109046/ENSG00000204592/ENSG00000007047/ENSG00000137101/ENSG00000167671/ENSG00000165516/ENSG00000116852/ENSG00000060237/ENSG00000104814/ENSG00000148341/ENSG00000176533/ENSG00000275302/ENSG00000105438/ENSG00000167615/ENSG00000148356/ENSG00000115935/ENSG00000141524/ENSG00000000938/ENSG00000100889/ENSG00000179873/ENSG00000110619/ENSG00000175115/ENSG00000114023/ENSG00000099194/ENSG00000185808/ENSG00000145495/ENSG00000089351/ENSG00000105329/ENSG00000126860/ENSG00000130766/ENSG00000112651/ENSG00000178719/ENSG00000078369/ENSG00000139514/ENSG00000164463/ENSG00000277632/ENSG00000147324/ENSG00000165175/ENSG00000163945/ENSG00000151012/ENSG00000101846/ENSG00000038382/ENSG00000143603/ENSG00000128309/ENSG00000245532/ENSG00000176454/ENSG00000204469/ENSG00000052802/ENSG00000101849/ENSG00000168884/ENSG00000028277/ENSG00000012779/ENSG00000102225/ENSG00000130175/ENSG00000057294/ENSG00000160796/ENSG00000141522/ENSG00000152256/ENSG00000196743/ENSG00000172216/ENSG00000117016/ENSG00000133606/ENSG00000064961/ENSG00000100077/ENSG00000115866/ENSG00000034152/ENSG00000130592/ENSG00000113328/ENSG00000127561/ENSG00000185596/ENSG00000175567/ENSG00000099875/ENSG00000168264/ENSG00000161011/ENSG00000137642/ENSG00000126934/ENSG00000157259/ENSG00000104960/ENSG00000217128/ENSG00000186818/ENSG00000126247/ENSG00000079459/ENSG00000117091/ENSG00000146094/ENSG00000015285/ENSG00000172893/ENSG00000110848/ENSG00000158604/ENSG00000106105/ENSG00000168003/ENSG00000085449/ENSG00000126216/ENSG00000115042/ENSG00000082641/ENSG00000139266/ENSG00000011638/ENSG00000078304/ENSG00000143393/ENSG00000100227
SHEN_SMARCA2_TARGETS_UP	424	-0.495153586438571	-2.51704966901261	3.14259584312157e-27	5.51420817273064e-24	4.21769442103158e-24	5660	tags=42%, list=20%, signal=34%	ENSG00000115561/ENSG00000090054/ENSG00000075142/ENSG00000023516/ENSG00000172239/ENSG00000198130/ENSG00000107672/ENSG00000103671/ENSG00000160679/ENSG00000155868/ENSG00000151461/ENSG00000123268/ENSG00000198730/ENSG00000111011/ENSG00000102409/ENSG00000114374/ENSG00000255529/ENSG00000076242/ENSG00000094880/ENSG00000008952/ENSG00000137962/ENSG00000096746/ENSG00000137075/ENSG00000072803/ENSG00000124207/ENSG00000083535/ENSG00000213079/ENSG00000170348/ENSG00000012983/ENSG00000089006/ENSG00000164252/ENSG00000182220/ENSG00000079785/ENSG00000065243/ENSG00000138385/ENSG00000198887/ENSG00000132640/ENSG00000155008/ENSG00000105854/ENSG00000134982/ENSG00000129003/ENSG00000080503/ENSG00000144744/ENSG00000138279/ENSG00000132912/ENSG00000165525/ENSG00000131779/ENSG00000054267/ENSG00000120137/ENSG00000156642/ENSG00000163625/ENSG00000188529/ENSG00000136146/ENSG00000115539/ENSG00000198898/ENSG00000154473/ENSG00000168291/ENSG00000066651/ENSG00000086475/ENSG00000100852/ENSG00000155329/ENSG00000170144/ENSG00000159658/ENSG00000185127/ENSG00000151690/ENSG00000115170/ENSG00000100380/ENSG00000112701/ENSG00000120837/ENSG00000141425/ENSG00000124209/ENSG00000145833/ENSG00000091039/ENSG00000165264/ENSG00000115540/ENSG00000110696/ENSG00000144283/ENSG00000113282/ENSG00000129636/ENSG00000011566/ENSG00000151414/ENSG00000070061/ENSG00000172340/ENSG00000136536/ENSG00000145781/ENSG00000123200/ENSG00000159140/ENSG00000067900/ENSG00000055208/ENSG00000126945/ENSG00000143742/ENSG00000140718/ENSG00000075711/ENSG00000124226/ENSG00000146476/ENSG00000178988/ENSG00000128731/ENSG00000106524/ENSG00000174720/ENSG00000166266/ENSG00000169018/ENSG00000166454/ENSG00000047188/ENSG00000015171/ENSG00000187325/ENSG00000136143/ENSG00000140740/ENSG00000186908/ENSG00000125863/ENSG00000085224/ENSG00000166575/ENSG00000116030/ENSG00000081087/ENSG00000131375/ENSG00000029363/ENSG00000115993/ENSG00000114098/ENSG00000167005/ENSG00000119402/ENSG00000198954/ENSG00000125818/ENSG00000145740/ENSG00000100519/ENSG00000145723/ENSG00000153147/ENSG00000115091/ENSG00000143756/ENSG00000035687/ENSG00000272047/ENSG00000170471/ENSG00000145715/ENSG00000169714/ENSG00000136631/ENSG00000138663/ENSG00000163541/ENSG00000152944/ENSG00000067248/ENSG00000133858/ENSG00000075945/ENSG00000011454/ENSG00000137776/ENSG00000280987/ENSG00000153827/ENSG00000164144/ENSG00000119912/ENSG00000102241/ENSG00000065548/ENSG00000163714/ENSG00000123636/ENSG00000163754/ENSG00000164209/ENSG00000111530/ENSG00000083312/ENSG00000155959/ENSG00000171204/ENSG00000184304/ENSG00000255302/ENSG00000079246/ENSG00000151239/ENSG00000113558/ENSG00000169062/ENSG00000108021/ENSG00000140395/ENSG00000211460/ENSG00000053770/ENSG00000089063/ENSG00000107651/ENSG00000166200/ENSG00000134186/ENSG00000197170/ENSG00000108094/ENSG00000135457/ENSG00000119041/ENSG00000132466/ENSG00000157869/ENSG00000149313/ENSG00000116747/ENSG00000115840/ENSG00000132388
MANALO_HYPOXIA_DN	282	-0.547098504026746	-2.65551052070884	1.10341154967074e-24	1.45208959936669e-21	1.11067083618173e-21	5079	tags=48%, list=18%, signal=39%	ENSG00000074582/ENSG00000102743/ENSG00000116649/ENSG00000074696/ENSG00000173085/ENSG00000162066/ENSG00000196497/ENSG00000124207/ENSG00000121057/ENSG00000228716/ENSG00000071462/ENSG00000112312/ENSG00000040275/ENSG00000100028/ENSG00000181938/ENSG00000114767/ENSG00000080608/ENSG00000095319/ENSG00000152700/ENSG00000175305/ENSG00000153187/ENSG00000114529/ENSG00000152642/ENSG00000114904/ENSG00000073536/ENSG00000105676/ENSG00000161547/ENSG00000197594/ENSG00000120942/ENSG00000120253/ENSG00000144021/ENSG00000105447/ENSG00000133657/ENSG00000196290/ENSG00000108671/ENSG00000106305/ENSG00000162129/ENSG00000125968/ENSG00000180398/ENSG00000179041/ENSG00000084774/ENSG00000137513/ENSG00000122873/ENSG00000165055/ENSG00000053372/ENSG00000030066/ENSG00000100714/ENSG00000168883/ENSG00000185608/ENSG00000088205/ENSG00000112578/ENSG00000114491/ENSG00000108561/ENSG00000116455/ENSG00000136444/ENSG00000033050/ENSG00000123545/ENSG00000048162/ENSG00000132773/ENSG00000092208/ENSG00000174446/ENSG00000160193/ENSG00000130826/ENSG00000142207/ENSG00000102763/ENSG00000259494/ENSG00000170515/ENSG00000151835/ENSG00000183527/ENSG00000068878/ENSG00000177192/ENSG00000140905/ENSG00000160208/ENSG00000117877/ENSG00000115946/ENSG00000116688/ENSG00000124787/ENSG00000186283/ENSG00000148688/ENSG00000167088/ENSG00000156469/ENSG00000168872/ENSG00000085415/ENSG00000108064/ENSG00000131467/ENSG00000110713/ENSG00000101361/ENSG00000118600/ENSG00000154743/ENSG00000130935/ENSG00000135763/ENSG00000138442/ENSG00000105173/ENSG00000143748/ENSG00000141219/ENSG00000116750/ENSG00000166197/ENSG00000159131/ENSG00000171793/ENSG00000070785/ENSG00000167721/ENSG00000150768/ENSG00000071994/ENSG00000117395/ENSG00000120800/ENSG00000148459/ENSG00000119912/ENSG00000138074/ENSG00000168924/ENSG00000156697/ENSG00000119285/ENSG00000100462/ENSG00000175792/ENSG00000111845/ENSG00000067533/ENSG00000106344/ENSG00000059691/ENSG00000113356/ENSG00000204394/ENSG00000165732/ENSG00000162377/ENSG00000152795/ENSG00000128059/ENSG00000138363/ENSG00000107651/ENSG00000107937/ENSG00000035141/ENSG00000155393/ENSG00000134001/ENSG00000173588/ENSG00000101452/ENSG00000152147/ENSG00000149313/ENSG00000172785
REACTOME_RRNA_PROCESSING	198	-0.576130908507674	-2.68502528771227	2.41377077188858e-21	2.5412178686443e-18	1.94372067420502e-18	5585	tags=48%, list=20%, signal=39%	ENSG00000210082/ENSG00000114391/ENSG00000197223/ENSG00000029639/ENSG00000165502/ENSG00000171311/ENSG00000072506/ENSG00000223496/ENSG00000197728/ENSG00000125691/ENSG00000150990/ENSG00000071462/ENSG00000233927/ENSG00000114767/ENSG00000178718/ENSG00000087269/ENSG00000145912/ENSG00000109475/ENSG00000108592/ENSG00000141076/ENSG00000136718/ENSG00000171863/ENSG00000089009/ENSG00000137154/ENSG00000109534/ENSG00000115053/ENSG00000136891/ENSG00000124541/ENSG00000120158/ENSG00000173113/ENSG00000227057/ENSG00000112578/ENSG00000037241/ENSG00000182774/ENSG00000122026/ENSG00000100890/ENSG00000161970/ENSG00000130826/ENSG00000241343/ENSG00000265681/ENSG00000171861/ENSG00000111615/ENSG00000138326/ENSG00000116251/ENSG00000104626/ENSG00000132467/ENSG00000163938/ENSG00000115946/ENSG00000124787/ENSG00000148688/ENSG00000183520/ENSG00000065268/ENSG00000165733/ENSG00000123737/ENSG00000101361/ENSG00000152464/ENSG00000165271/ENSG00000066654/ENSG00000130935/ENSG00000162408/ENSG00000117597/ENSG00000138442/ENSG00000058729/ENSG00000086189/ENSG00000163584/ENSG00000065183/ENSG00000083520/ENSG00000143947/ENSG00000278053/ENSG00000115368/ENSG00000124383/ENSG00000167721/ENSG00000117395/ENSG00000120800/ENSG00000164934/ENSG00000156697/ENSG00000108651/ENSG00000088930/ENSG00000055044/ENSG00000119285/ENSG00000006744/ENSG00000011260/ENSG00000106344/ENSG00000163684/ENSG00000164338/ENSG00000148843/ENSG00000132603/ENSG00000165732/ENSG00000135521/ENSG00000174173/ENSG00000124784/ENSG00000163811/ENSG00000039123/ENSG00000135698/ENSG00000134987
ELVIDGE_HYPOXIA_UP	158	0.594772611273372	2.68330801037896	1.57611098252009e-19	1.38277470199763e-16	1.05765342248059e-16	3647	tags=46%, list=13%, signal=41%	ENSG00000177469/ENSG00000127663/ENSG00000112715/ENSG00000111674/ENSG00000168209/ENSG00000186918/ENSG00000107819/ENSG00000117394/ENSG00000151640/ENSG00000113739/ENSG00000105135/ENSG00000164056/ENSG00000140939/ENSG00000103145/ENSG00000138764/ENSG00000125629/ENSG00000185585/ENSG00000115548/ENSG00000167772/ENSG00000185022/ENSG00000117000/ENSG00000122884/ENSG00000176171/ENSG00000143590/ENSG00000119950/ENSG00000170525/ENSG00000102144/ENSG00000104765/ENSG00000106366/ENSG00000067057/ENSG00000116260/ENSG00000067082/ENSG00000134107/ENSG00000079739/ENSG00000101040/ENSG00000163872/ENSG00000188994/ENSG00000143847/ENSG00000072682/ENSG00000134769/ENSG00000104419/ENSG00000147852/ENSG00000100027/ENSG00000109046/ENSG00000168214/ENSG00000163516/ENSG00000114023/ENSG00000168447/ENSG00000125398/ENSG00000176383/ENSG00000104812/ENSG00000120129/ENSG00000148926/ENSG00000061656/ENSG00000025039/ENSG00000204856/ENSG00000159399/ENSG00000177606/ENSG00000162433/ENSG00000175105/ENSG00000152256/ENSG00000130513/ENSG00000145730/ENSG00000163659/ENSG00000197930/ENSG00000120738/ENSG00000101187/ENSG00000100311/ENSG00000137642/ENSG00000162772/ENSG00000121966/ENSG00000170345/ENSG00000113580
IBRAHIM_NRF1_UP	405	-0.451833356894386	-2.28721711215017	5.74425271916907e-19	4.31967804481514e-16	3.30402506027394e-16	5404	tags=41%, list=19%, signal=33%	ENSG00000258947/ENSG00000162434/ENSG00000162613/ENSG00000165119/ENSG00000143179/ENSG00000198730/ENSG00000115310/ENSG00000264364/ENSG00000105401/ENSG00000170759/ENSG00000165916/ENSG00000113194/ENSG00000144040/ENSG00000072803/ENSG00000131626/ENSG00000151929/ENSG00000196419/ENSG00000170348/ENSG00000104635/ENSG00000012983/ENSG00000118496/ENSG00000079785/ENSG00000138385/ENSG00000101367/ENSG00000198478/ENSG00000071054/ENSG00000114904/ENSG00000085733/ENSG00000104356/ENSG00000141385/ENSG00000074201/ENSG00000101350/ENSG00000055130/ENSG00000064419/ENSG00000155380/ENSG00000090520/ENSG00000120253/ENSG00000135090/ENSG00000117500/ENSG00000168439/ENSG00000136875/ENSG00000181220/ENSG00000119335/ENSG00000151247/ENSG00000100591/ENSG00000119812/ENSG00000150753/ENSG00000116161/ENSG00000144909/ENSG00000154001/ENSG00000102024/ENSG00000113141/ENSG00000151693/ENSG00000136738/ENSG00000145220/ENSG00000135624/ENSG00000127870/ENSG00000111361/ENSG00000116406/ENSG00000165219/ENSG00000171497/ENSG00000227057/ENSG00000113282/ENSG00000116455/ENSG00000048162/ENSG00000149187/ENSG00000099968/ENSG00000144381/ENSG00000049449/ENSG00000122692/ENSG00000130826/ENSG00000112208/ENSG00000065427/ENSG00000140632/ENSG00000196531/ENSG00000113013/ENSG00000091527/ENSG00000183431/ENSG00000163281/ENSG00000163904/ENSG00000166454/ENSG00000113460/ENSG00000100804/ENSG00000179010/ENSG00000166226/ENSG00000116688/ENSG00000109971/ENSG00000183735/ENSG00000156261/ENSG00000117592/ENSG00000117298/ENSG00000104695/ENSG00000145246/ENSG00000007923/ENSG00000139697/ENSG00000110321/ENSG00000120438/ENSG00000131043/ENSG00000180329/ENSG00000127837/ENSG00000146731/ENSG00000130935/ENSG00000105821/ENSG00000119682/ENSG00000156502/ENSG00000169045/ENSG00000096063/ENSG00000143756/ENSG00000176407/ENSG00000058729/ENSG00000108578/ENSG00000164902/ENSG00000153107/ENSG00000170445/ENSG00000018699/ENSG00000065183/ENSG00000107949/ENSG00000166197/ENSG00000120694/ENSG00000037474/ENSG00000077232/ENSG00000086061/ENSG00000134375/ENSG00000124383/ENSG00000163636/ENSG00000070785/ENSG00000170606/ENSG00000168259/ENSG00000167721/ENSG00000150768/ENSG00000137776/ENSG00000007202/ENSG00000064313/ENSG00000122068/ENSG00000122965/ENSG00000158467/ENSG00000163898/ENSG00000106554/ENSG00000101557/ENSG00000089195/ENSG00000089048/ENSG00000005175/ENSG00000100462/ENSG00000047315/ENSG00000006744/ENSG00000109133/ENSG00000100522/ENSG00000147677/ENSG00000163468/ENSG00000163558/ENSG00000168818/ENSG00000143952/ENSG00000132603/ENSG00000165732/ENSG00000115364/ENSG00000124784/ENSG00000113643/ENSG00000107937/ENSG00000161217/ENSG00000178105/ENSG00000119041/ENSG00000104131/ENSG00000072401/ENSG00000164163/ENSG00000134987
ELVIDGE_HIF1A_TARGETS_DN	83	0.703389816601523	2.90649601868349	4.03388181074531e-18	2.35937265019592e-15	1.80463133638606e-15	3873	tags=60%, list=14%, signal=52%	ENSG00000177469/ENSG00000127663/ENSG00000111674/ENSG00000186918/ENSG00000107819/ENSG00000117394/ENSG00000151640/ENSG00000105135/ENSG00000140939/ENSG00000103145/ENSG00000125629/ENSG00000185585/ENSG00000167772/ENSG00000185022/ENSG00000122884/ENSG00000176171/ENSG00000143590/ENSG00000119950/ENSG00000170525/ENSG00000102144/ENSG00000104765/ENSG00000116260/ENSG00000079739/ENSG00000163872/ENSG00000188994/ENSG00000143847/ENSG00000072682/ENSG00000104419/ENSG00000147852/ENSG00000109046/ENSG00000168214/ENSG00000163516/ENSG00000114023/ENSG00000168447/ENSG00000176383/ENSG00000104812/ENSG00000148926/ENSG00000061656/ENSG00000140465/ENSG00000025039/ENSG00000159399/ENSG00000162433/ENSG00000152256/ENSG00000145730/ENSG00000197930/ENSG00000100311/ENSG00000121966/ENSG00000170345/ENSG00000113580/ENSG00000129521
RAMALHO_STEMNESS_UP	191	-0.555768392164895	-2.58758705594522	3.97696964367615e-18	2.35937265019592e-15	1.80463133638606e-15	4130	tags=43%, list=14%, signal=37%	ENSG00000158006/ENSG00000100697/ENSG00000085733/ENSG00000112081/ENSG00000141076/ENSG00000137574/ENSG00000105447/ENSG00000108671/ENSG00000146282/ENSG00000112282/ENSG00000204392/ENSG00000155329/ENSG00000005156/ENSG00000162702/ENSG00000100116/ENSG00000151131/ENSG00000165526/ENSG00000135272/ENSG00000099246/ENSG00000041802/ENSG00000102024/ENSG00000134697/ENSG00000170365/ENSG00000105993/ENSG00000136738/ENSG00000102738/ENSG00000120158/ENSG00000050405/ENSG00000112578/ENSG00000114491/ENSG00000011566/ENSG00000036549/ENSG00000123545/ENSG00000185222/ENSG00000172340/ENSG00000136536/ENSG00000049449/ENSG00000278845/ENSG00000180817/ENSG00000164904/ENSG00000116251/ENSG00000166913/ENSG00000140905/ENSG00000175354/ENSG00000145868/ENSG00000171490/ENSG00000156469/ENSG00000146463/ENSG00000085563/ENSG00000110321/ENSG00000100722/ENSG00000115514/ENSG00000163510/ENSG00000189050/ENSG00000145715/ENSG00000124383/ENSG00000138663/ENSG00000134758/ENSG00000134318/ENSG00000137955/ENSG00000163444/ENSG00000071994/ENSG00000163002/ENSG00000163104/ENSG00000120800/ENSG00000112357/ENSG00000055044/ENSG00000089048/ENSG00000085721/ENSG00000117543/ENSG00000163138/ENSG00000079246/ENSG00000163684/ENSG00000166233/ENSG00000091409/ENSG00000155438/ENSG00000107651/ENSG00000163811/ENSG00000197170/ENSG00000132466/ENSG00000104131/ENSG00000112964/ENSG00000205765
MENSE_HYPOXIA_UP	96	0.660429650632226	2.79774092722479	4.75253673610808e-17	2.08477944823941e-14	1.59460114172047e-14	3579	tags=53%, list=13%, signal=47%	ENSG00000179335/ENSG00000186314/ENSG00000127663/ENSG00000112715/ENSG00000111674/ENSG00000114268/ENSG00000089775/ENSG00000113739/ENSG00000140939/ENSG00000123095/ENSG00000059804/ENSG00000103145/ENSG00000005448/ENSG00000125629/ENSG00000115548/ENSG00000167772/ENSG00000185022/ENSG00000196968/ENSG00000122884/ENSG00000176171/ENSG00000161277/ENSG00000087074/ENSG00000253882/ENSG00000119950/ENSG00000170525/ENSG00000102144/ENSG00000104765/ENSG00000105220/ENSG00000134107/ENSG00000186352/ENSG00000143847/ENSG00000072682/ENSG00000104419/ENSG00000168214/ENSG00000155111/ENSG00000114023/ENSG00000099194/ENSG00000105835/ENSG00000148926/ENSG00000061656/ENSG00000159399/ENSG00000152256/ENSG00000101782/ENSG00000172216/ENSG00000133997/ENSG00000163659/ENSG00000172890/ENSG00000197930/ENSG00000162772/ENSG00000164096/ENSG00000145777
