Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	420	-0.589090647264017	-2.99124176876054	4.99283433684212e-47	5.00831212328633e-43	4.4247023454604e-43	6033	tags=55%, list=21%, signal=44%	ENSG00000188976/ENSG00000100650/ENSG00000148300/ENSG00000185246/ENSG00000165630/ENSG00000275700/ENSG00000261236/ENSG00000003756/ENSG00000125445/ENSG00000229388/ENSG00000167272/ENSG00000132275/ENSG00000114391/ENSG00000174243/ENSG00000132153/ENSG00000269900/ENSG00000156928/ENSG00000197223/ENSG00000171103/ENSG00000029639/ENSG00000171311/ENSG00000258724/ENSG00000117419/ENSG00000254858/ENSG00000223496/ENSG00000140598/ENSG00000111605/ENSG00000007392/ENSG00000149716/ENSG00000141759/ENSG00000150990/ENSG00000082515/ENSG00000071462/ENSG00000132680/ENSG00000110958/ENSG00000233927/ENSG00000147679/ENSG00000100028/ENSG00000132341/ENSG00000114767/ENSG00000079785/ENSG00000178718/ENSG00000063046/ENSG00000124228/ENSG00000087269/ENSG00000274349/ENSG00000145912/ENSG00000100697/ENSG00000073536/ENSG00000205609/ENSG00000074201/ENSG00000108592/ENSG00000141076/ENSG00000096384/ENSG00000150773/ENSG00000137574/ENSG00000242485/ENSG00000136718/ENSG00000171863/ENSG00000188529/ENSG00000111786/ENSG00000168228/ENSG00000117360/ENSG00000061936/ENSG00000204392/ENSG00000182810/ENSG00000135829/ENSG00000160818/ENSG00000151131/ENSG00000179041/ENSG00000165526/ENSG00000139218/ENSG00000082516/ENSG00000253729/ENSG00000089009/ENSG00000137154/ENSG00000109534/ENSG00000041802/ENSG00000117174/ENSG00000163312/ENSG00000134697/ENSG00000053372/ENSG00000107833/ENSG00000132382/ENSG00000254093/ENSG00000105793/ENSG00000136937/ENSG00000145220/ENSG00000124541/ENSG00000113360/ENSG00000101343/ENSG00000168883/ENSG00000120158/ENSG00000164167/ENSG00000173113/ENSG00000172409/ENSG00000227057/ENSG00000088205/ENSG00000112578/ENSG00000108561/ENSG00000117133/ENSG00000037241/ENSG00000048162/ENSG00000092208/ENSG00000115524/ENSG00000149187/ENSG00000136271/ENSG00000182774/ENSG00000196943/ENSG00000161970/ENSG00000130826/ENSG00000142207/ENSG00000064703/ENSG00000171861/ENSG00000164346/ENSG00000183431/ENSG00000170515/ENSG00000197498/ENSG00000139546/ENSG00000111615/ENSG00000121274/ENSG00000185163/ENSG00000198042/ENSG00000138326/ENSG00000104626/ENSG00000132467/ENSG00000113460/ENSG00000160208/ENSG00000124787/ENSG00000148688/ENSG00000183520/ENSG00000162851/ENSG00000065268/ENSG00000171490/ENSG00000165733/ENSG00000167088/ENSG00000156469/ENSG00000123737/ENSG00000101361/ENSG00000167005/ENSG00000152464/ENSG00000083635/ENSG00000107581/ENSG00000165271/ENSG00000131043/ENSG00000134371/ENSG00000145414/ENSG00000130935/ENSG00000162408/ENSG00000117597/ENSG00000135763/ENSG00000166133/ENSG00000138442/ENSG00000096063/ENSG00000058729/ENSG00000125485/ENSG00000198301/ENSG00000080824/ENSG00000086189/ENSG00000272047/ENSG00000143748/ENSG00000065183/ENSG00000083520/ENSG00000166197/ENSG00000052749/ENSG00000278053/ENSG00000115368/ENSG00000181163/ENSG00000124383/ENSG00000144231/ENSG00000144736/ENSG00000146223/ENSG00000067248/ENSG00000167721/ENSG00000182841/ENSG00000181991/ENSG00000048740/ENSG00000127804/ENSG00000154548/ENSG00000117395/ENSG00000198000/ENSG00000136045/ENSG00000120800/ENSG00000164934/ENSG00000156697/ENSG00000108651/ENSG00000088930/ENSG00000169251/ENSG00000198492/ENSG00000055044/ENSG00000119285/ENSG00000089048/ENSG00000100462/ENSG00000175792/ENSG00000109536/ENSG00000085721/ENSG00000100664/ENSG00000111845/ENSG00000067533/ENSG00000011260/ENSG00000079246/ENSG00000182004/ENSG00000178694/ENSG00000232119/ENSG00000164338/ENSG00000148843/ENSG00000132603/ENSG00000165732/ENSG00000135521/ENSG00000115761/ENSG00000155438/ENSG00000101181/ENSG00000124784/ENSG00000023734/ENSG00000107937/ENSG00000163811/ENSG00000178105/ENSG00000130119/ENSG00000155393/ENSG00000039123/ENSG00000175054/ENSG00000135698/ENSG00000170854/ENSG00000005436/ENSG00000152147/ENSG00000151304/ENSG00000169288/ENSG00000118246/ENSG00000164163/ENSG00000134987
GOBP_RIBOSOME_BIOGENESIS	296	-0.626884494999308	-3.06686952929061	1.18867196466747e-40	5.96178423878971e-37	5.26706803712392e-37	5548	tags=56%, list=19%, signal=45%	ENSG00000114391/ENSG00000132153/ENSG00000269900/ENSG00000156928/ENSG00000197223/ENSG00000171103/ENSG00000029639/ENSG00000171311/ENSG00000258724/ENSG00000117419/ENSG00000254858/ENSG00000223496/ENSG00000140598/ENSG00000149716/ENSG00000150990/ENSG00000082515/ENSG00000071462/ENSG00000233927/ENSG00000147679/ENSG00000132341/ENSG00000114767/ENSG00000178718/ENSG00000124228/ENSG00000087269/ENSG00000274349/ENSG00000145912/ENSG00000073536/ENSG00000108592/ENSG00000141076/ENSG00000150773/ENSG00000242485/ENSG00000136718/ENSG00000171863/ENSG00000168228/ENSG00000182810/ENSG00000160818/ENSG00000179041/ENSG00000165526/ENSG00000253729/ENSG00000089009/ENSG00000137154/ENSG00000109534/ENSG00000041802/ENSG00000117174/ENSG00000163312/ENSG00000134697/ENSG00000053372/ENSG00000107833/ENSG00000132382/ENSG00000254093/ENSG00000105793/ENSG00000145220/ENSG00000124541/ENSG00000113360/ENSG00000120158/ENSG00000164167/ENSG00000173113/ENSG00000227057/ENSG00000088205/ENSG00000112578/ENSG00000108561/ENSG00000117133/ENSG00000037241/ENSG00000048162/ENSG00000136271/ENSG00000182774/ENSG00000196943/ENSG00000161970/ENSG00000130826/ENSG00000142207/ENSG00000171861/ENSG00000164346/ENSG00000170515/ENSG00000197498/ENSG00000111615/ENSG00000121274/ENSG00000185163/ENSG00000198042/ENSG00000138326/ENSG00000104626/ENSG00000132467/ENSG00000113460/ENSG00000160208/ENSG00000124787/ENSG00000148688/ENSG00000183520/ENSG00000162851/ENSG00000065268/ENSG00000171490/ENSG00000165733/ENSG00000156469/ENSG00000123737/ENSG00000101361/ENSG00000152464/ENSG00000165271/ENSG00000145414/ENSG00000130935/ENSG00000162408/ENSG00000117597/ENSG00000135763/ENSG00000166133/ENSG00000138442/ENSG00000058729/ENSG00000125485/ENSG00000198301/ENSG00000086189/ENSG00000272047/ENSG00000143748/ENSG00000065183/ENSG00000083520/ENSG00000166197/ENSG00000052749/ENSG00000278053/ENSG00000115368/ENSG00000181163/ENSG00000124383/ENSG00000144736/ENSG00000146223/ENSG00000067248/ENSG00000167721/ENSG00000182841/ENSG00000181991/ENSG00000127804/ENSG00000117395/ENSG00000198000/ENSG00000136045/ENSG00000120800/ENSG00000164934/ENSG00000156697/ENSG00000108651/ENSG00000088930/ENSG00000169251/ENSG00000198492/ENSG00000055044/ENSG00000119285/ENSG00000089048/ENSG00000109536/ENSG00000085721/ENSG00000111845/ENSG00000067533/ENSG00000011260/ENSG00000079246/ENSG00000178694/ENSG00000164338/ENSG00000148843/ENSG00000132603/ENSG00000165732/ENSG00000135521/ENSG00000115761/ENSG00000155438/ENSG00000101181/ENSG00000124784/ENSG00000107937/ENSG00000163811/ENSG00000178105/ENSG00000130119/ENSG00000155393/ENSG00000039123/ENSG00000135698/ENSG00000170854/ENSG00000151304/ENSG00000169288/ENSG00000118246/ENSG00000164163/ENSG00000134987
GOBP_NCRNA_PROCESSING	370	-0.576349646269614	-2.88415910693611	2.72856799864709e-39	9.12342186480967e-36	8.06028560723154e-36	5522	tags=53%, list=19%, signal=44%	ENSG00000104299/ENSG00000269900/ENSG00000197223/ENSG00000092094/ENSG00000171103/ENSG00000029639/ENSG00000171311/ENSG00000117419/ENSG00000072506/ENSG00000169718/ENSG00000166166/ENSG00000223496/ENSG00000100601/ENSG00000150990/ENSG00000065457/ENSG00000071462/ENSG00000233927/ENSG00000147679/ENSG00000126814/ENSG00000114767/ENSG00000079785/ENSG00000178718/ENSG00000100220/ENSG00000138385/ENSG00000124228/ENSG00000087269/ENSG00000145912/ENSG00000100697/ENSG00000104356/ENSG00000138614/ENSG00000087995/ENSG00000108592/ENSG00000141076/ENSG00000150773/ENSG00000136718/ENSG00000138050/ENSG00000145331/ENSG00000171863/ENSG00000168228/ENSG00000122566/ENSG00000066651/ENSG00000179041/ENSG00000165526/ENSG00000145996/ENSG00000253729/ENSG00000137154/ENSG00000109534/ENSG00000117174/ENSG00000165055/ENSG00000163312/ENSG00000053372/ENSG00000107833/ENSG00000170365/ENSG00000101391/ENSG00000145220/ENSG00000124541/ENSG00000138785/ENSG00000165832/ENSG00000113360/ENSG00000109911/ENSG00000120158/ENSG00000164167/ENSG00000113272/ENSG00000173113/ENSG00000172409/ENSG00000227057/ENSG00000088205/ENSG00000112578/ENSG00000117133/ENSG00000132773/ENSG00000136271/ENSG00000182774/ENSG00000070061/ENSG00000100890/ENSG00000196943/ENSG00000161970/ENSG00000160193/ENSG00000130826/ENSG00000142207/ENSG00000065427/ENSG00000091127/ENSG00000104613/ENSG00000171861/ENSG00000164346/ENSG00000170515/ENSG00000189007/ENSG00000197498/ENSG00000139546/ENSG00000111615/ENSG00000121274/ENSG00000185163/ENSG00000198042/ENSG00000138326/ENSG00000122435/ENSG00000174720/ENSG00000104626/ENSG00000132467/ENSG00000113460/ENSG00000177192/ENSG00000160208/ENSG00000162927/ENSG00000124787/ENSG00000148688/ENSG00000183520/ENSG00000110060/ENSG00000162851/ENSG00000065268/ENSG00000171490/ENSG00000165733/ENSG00000124217/ENSG00000087302/ENSG00000123737/ENSG00000104907/ENSG00000101361/ENSG00000162623/ENSG00000152464/ENSG00000165271/ENSG00000151576/ENSG00000154743/ENSG00000145414/ENSG00000066654/ENSG00000130935/ENSG00000154813/ENSG00000162408/ENSG00000117597/ENSG00000166133/ENSG00000138442/ENSG00000058729/ENSG00000086189/ENSG00000272047/ENSG00000123600/ENSG00000143748/ENSG00000065183/ENSG00000083520/ENSG00000166197/ENSG00000052749/ENSG00000278053/ENSG00000115368/ENSG00000037474/ENSG00000136244/ENSG00000143493/ENSG00000124383/ENSG00000144736/ENSG00000146223/ENSG00000167721/ENSG00000182841/ENSG00000181991/ENSG00000127804/ENSG00000117395/ENSG00000198000/ENSG00000136045/ENSG00000120800/ENSG00000145982/ENSG00000155275/ENSG00000198874/ENSG00000164934/ENSG00000156697/ENSG00000108651/ENSG00000088930/ENSG00000169570/ENSG00000198492/ENSG00000103707/ENSG00000055044/ENSG00000132463/ENSG00000089195/ENSG00000119285/ENSG00000089048/ENSG00000006744/ENSG00000102786/ENSG00000109536/ENSG00000103005/ENSG00000067533/ENSG00000162971/ENSG00000011260/ENSG00000178694/ENSG00000163684/ENSG00000164338/ENSG00000148843/ENSG00000072756/ENSG00000137760/ENSG00000165732/ENSG00000115970/ENSG00000115761/ENSG00000155438/ENSG00000174173/ENSG00000124784/ENSG00000107937/ENSG00000163811/ENSG00000183665/ENSG00000178105/ENSG00000039123/ENSG00000135698/ENSG00000136932/ENSG00000151304/ENSG00000169288/ENSG00000277149/ENSG00000134987
GOBP_RRNA_METABOLIC_PROCESS	256	-0.603738997476815	-2.89518669539783	9.26571339350225e-32	2.32360927625553e-28	2.05284318578672e-28	3864	tags=47%, list=14%, signal=41%	ENSG00000108592/ENSG00000141076/ENSG00000150773/ENSG00000136718/ENSG00000171863/ENSG00000168228/ENSG00000115207/ENSG00000077235/ENSG00000179041/ENSG00000165526/ENSG00000253729/ENSG00000137154/ENSG00000109534/ENSG00000117174/ENSG00000163312/ENSG00000053372/ENSG00000107833/ENSG00000115053/ENSG00000145220/ENSG00000124541/ENSG00000113360/ENSG00000120158/ENSG00000164167/ENSG00000173113/ENSG00000227057/ENSG00000088205/ENSG00000112578/ENSG00000117133/ENSG00000136271/ENSG00000182774/ENSG00000196943/ENSG00000161970/ENSG00000137054/ENSG00000115750/ENSG00000130826/ENSG00000142207/ENSG00000155115/ENSG00000171861/ENSG00000164346/ENSG00000170515/ENSG00000197498/ENSG00000111615/ENSG00000121274/ENSG00000185163/ENSG00000198042/ENSG00000138326/ENSG00000125630/ENSG00000104626/ENSG00000132467/ENSG00000113460/ENSG00000160208/ENSG00000117877/ENSG00000125484/ENSG00000124787/ENSG00000135900/ENSG00000148688/ENSG00000183520/ENSG00000162851/ENSG00000065268/ENSG00000171490/ENSG00000165733/ENSG00000123737/ENSG00000101361/ENSG00000152464/ENSG00000165271/ENSG00000145414/ENSG00000130935/ENSG00000162408/ENSG00000117597/ENSG00000166133/ENSG00000138442/ENSG00000198793/ENSG00000058729/ENSG00000086189/ENSG00000272047/ENSG00000143748/ENSG00000065183/ENSG00000083520/ENSG00000166197/ENSG00000052749/ENSG00000278053/ENSG00000115368/ENSG00000124383/ENSG00000144736/ENSG00000146223/ENSG00000167721/ENSG00000182841/ENSG00000181991/ENSG00000127804/ENSG00000117395/ENSG00000198000/ENSG00000136045/ENSG00000120800/ENSG00000164934/ENSG00000156697/ENSG00000108651/ENSG00000088930/ENSG00000198492/ENSG00000055044/ENSG00000119285/ENSG00000089048/ENSG00000109536/ENSG00000067533/ENSG00000011260/ENSG00000178694/ENSG00000164338/ENSG00000148843/ENSG00000165732/ENSG00000115761/ENSG00000155438/ENSG00000124784/ENSG00000107937/ENSG00000163811/ENSG00000178105/ENSG00000039123/ENSG00000135698/ENSG00000119041/ENSG00000151304/ENSG00000169288/ENSG00000134987
GOBP_MRNA_PROCESSING	443	-0.444036099315989	-2.2567444446683	2.37579901414108e-19	3.97193998514152e-16	3.50909682457083e-16	6019	tags=42%, list=21%, signal=33%	ENSG00000100650/ENSG00000167258/ENSG00000101413/ENSG00000185246/ENSG00000165630/ENSG00000170860/ENSG00000003756/ENSG00000229388/ENSG00000165819/ENSG00000248333/ENSG00000131051/ENSG00000100109/ENSG00000125944/ENSG00000065978/ENSG00000166477/ENSG00000142192/ENSG00000174243/ENSG00000100461/ENSG00000125870/ENSG00000165119/ENSG00000198730/ENSG00000163125/ENSG00000111605/ENSG00000007392/ENSG00000204560/ENSG00000141759/ENSG00000096746/ENSG00000111196/ENSG00000147274/ENSG00000099622/ENSG00000138035/ENSG00000132680/ENSG00000133226/ENSG00000213079/ENSG00000076650/ENSG00000004487/ENSG00000106355/ENSG00000100028/ENSG00000079785/ENSG00000099783/ENSG00000175324/ENSG00000100410/ENSG00000113649/ENSG00000153187/ENSG00000111880/ENSG00000174840/ENSG00000136527/ENSG00000143368/ENSG00000074201/ENSG00000112081/ENSG00000161547/ENSG00000145388/ENSG00000137574/ENSG00000136875/ENSG00000188529/ENSG00000104852/ENSG00000131773/ENSG00000111786/ENSG00000151657/ENSG00000122566/ENSG00000116560/ENSG00000117360/ENSG00000061936/ENSG00000204392/ENSG00000135829/ENSG00000109917/ENSG00000170144/ENSG00000139218/ENSG00000143889/ENSG00000120948/ENSG00000082516/ENSG00000115421/ENSG00000136709/ENSG00000100296/ENSG00000162437/ENSG00000084093/ENSG00000204272/ENSG00000102103/ENSG00000067596/ENSG00000115053/ENSG00000141425/ENSG00000113141/ENSG00000145833/ENSG00000119953/ENSG00000136937/ENSG00000101343/ENSG00000102317/ENSG00000168883/ENSG00000164167/ENSG00000115128/ENSG00000172409/ENSG00000011243/ENSG00000115875/ENSG00000108561/ENSG00000132485/ENSG00000092208/ENSG00000115524/ENSG00000149187/ENSG00000108883/ENSG00000116754/ENSG00000054118/ENSG00000122692/ENSG00000160075/ENSG00000123200/ENSG00000159140/ENSG00000119203/ENSG00000159086/ENSG00000064703/ENSG00000213246/ENSG00000183431/ENSG00000121274/ENSG00000174720/ENSG00000160208/ENSG00000167112/ENSG00000109971/ENSG00000060688/ENSG00000112739/ENSG00000167088/ENSG00000110713/ENSG00000180917/ENSG00000197381/ENSG00000167005/ENSG00000117592/ENSG00000096401/ENSG00000176102/ENSG00000131043/ENSG00000134371/ENSG00000008128/ENSG00000154743/ENSG00000214575/ENSG00000100722/ENSG00000153914/ENSG00000089682/ENSG00000163510/ENSG00000021776/ENSG00000169045/ENSG00000096063/ENSG00000137168/ENSG00000114503/ENSG00000273559/ENSG00000146007/ENSG00000076770/ENSG00000164169/ENSG00000144231/ENSG00000122882/ENSG00000100941/ENSG00000177613/ENSG00000048740/ENSG00000137776/ENSG00000100320/ENSG00000127804/ENSG00000154548/ENSG00000122965/ENSG00000139910/ENSG00000119720/ENSG00000102241/ENSG00000092199/ENSG00000164329/ENSG00000152404/ENSG00000088930/ENSG00000162664/ENSG00000132463/ENSG00000100462/ENSG00000109536/ENSG00000116752/ENSG00000107951/ENSG00000106344/ENSG00000129315/ENSG00000182004/ENSG00000174953/ENSG00000148843/ENSG00000165934/ENSG00000140830/ENSG00000163605/ENSG00000023734/ENSG00000134186/ENSG00000108654/ENSG00000039123/ENSG00000005436/ENSG00000196504/ENSG00000101452/ENSG00000152147/ENSG00000119707/ENSG00000049883
GOBP_TRNA_METABOLIC_PROCESS	174	-0.563293907167888	-2.59730426189029	5.87099061681608e-17	7.36148835966026e-14	6.50366710565455e-14	5510	tags=53%, list=19%, signal=43%	ENSG00000154760/ENSG00000092094/ENSG00000171103/ENSG00000139131/ENSG00000072506/ENSG00000169718/ENSG00000166166/ENSG00000100601/ENSG00000133706/ENSG00000257218/ENSG00000065457/ENSG00000067704/ENSG00000126814/ENSG00000079785/ENSG00000178718/ENSG00000100220/ENSG00000138385/ENSG00000100697/ENSG00000104356/ENSG00000087995/ENSG00000138050/ENSG00000145331/ENSG00000066651/ENSG00000146282/ENSG00000115207/ENSG00000077235/ENSG00000165526/ENSG00000145996/ENSG00000137513/ENSG00000165055/ENSG00000101391/ENSG00000130348/ENSG00000165832/ENSG00000109911/ENSG00000164167/ENSG00000113272/ENSG00000173113/ENSG00000172409/ENSG00000070061/ENSG00000100890/ENSG00000160193/ENSG00000155115/ENSG00000065427/ENSG00000091127/ENSG00000189007/ENSG00000122435/ENSG00000011376/ENSG00000177192/ENSG00000162927/ENSG00000125484/ENSG00000124787/ENSG00000148688/ENSG00000110060/ENSG00000103356/ENSG00000124217/ENSG00000087302/ENSG00000123737/ENSG00000104907/ENSG00000162623/ENSG00000152464/ENSG00000151576/ENSG00000154743/ENSG00000066654/ENSG00000179988/ENSG00000154813/ENSG00000123600/ENSG00000170445/ENSG00000037474/ENSG00000116120/ENSG00000130764/ENSG00000145982/ENSG00000155275/ENSG00000198874/ENSG00000169570/ENSG00000103707/ENSG00000132463/ENSG00000089195/ENSG00000006744/ENSG00000162971/ENSG00000059691/ENSG00000178694/ENSG00000163684/ENSG00000204394/ENSG00000072756/ENSG00000116874/ENSG00000137760/ENSG00000115970/ENSG00000174173/ENSG00000113643/ENSG00000183665/ENSG00000119041/ENSG00000136932/ENSG00000277149
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	281	-0.457048027666468	-2.21980876656988	1.51786439885666e-13	1.52256977849312e-10	1.34514740778676e-10	6019	tags=43%, list=21%, signal=35%	ENSG00000100650/ENSG00000185246/ENSG00000165630/ENSG00000170860/ENSG00000003756/ENSG00000229388/ENSG00000165819/ENSG00000131051/ENSG00000100109/ENSG00000125944/ENSG00000174243/ENSG00000100461/ENSG00000125870/ENSG00000165119/ENSG00000007392/ENSG00000204560/ENSG00000141759/ENSG00000096746/ENSG00000111196/ENSG00000147274/ENSG00000099622/ENSG00000132680/ENSG00000133226/ENSG00000076650/ENSG00000004487/ENSG00000106355/ENSG00000100028/ENSG00000079785/ENSG00000099783/ENSG00000175324/ENSG00000100410/ENSG00000153187/ENSG00000136527/ENSG00000143368/ENSG00000074201/ENSG00000112081/ENSG00000161547/ENSG00000145388/ENSG00000137574/ENSG00000136875/ENSG00000188529/ENSG00000104852/ENSG00000131773/ENSG00000111786/ENSG00000122566/ENSG00000116560/ENSG00000117360/ENSG00000061936/ENSG00000204392/ENSG00000135829/ENSG00000170144/ENSG00000139218/ENSG00000082516/ENSG00000162437/ENSG00000084093/ENSG00000102103/ENSG00000067596/ENSG00000115053/ENSG00000113141/ENSG00000145833/ENSG00000119953/ENSG00000136937/ENSG00000101343/ENSG00000102317/ENSG00000168883/ENSG00000164167/ENSG00000115128/ENSG00000115875/ENSG00000108561/ENSG00000092208/ENSG00000115524/ENSG00000149187/ENSG00000108883/ENSG00000054118/ENSG00000122692/ENSG00000159140/ENSG00000159086/ENSG00000064703/ENSG00000183431/ENSG00000174720/ENSG00000109971/ENSG00000060688/ENSG00000112739/ENSG00000167088/ENSG00000110713/ENSG00000117592/ENSG00000096401/ENSG00000131043/ENSG00000089682/ENSG00000163510/ENSG00000021776/ENSG00000169045/ENSG00000096063/ENSG00000137168/ENSG00000114503/ENSG00000273559/ENSG00000146007/ENSG00000076770/ENSG00000124383/ENSG00000100941/ENSG00000048740/ENSG00000100320/ENSG00000127804/ENSG00000154548/ENSG00000122965/ENSG00000139910/ENSG00000102241/ENSG00000092199/ENSG00000152404/ENSG00000100462/ENSG00000109536/ENSG00000116752/ENSG00000182004/ENSG00000140830/ENSG00000023734/ENSG00000108654/ENSG00000039123/ENSG00000005436/ENSG00000196504/ENSG00000101452/ENSG00000152147/ENSG00000119707
GOBP_RNA_SPLICING	386	-0.41094631339847	-2.06475104996939	2.46723004280956e-13	2.24988950540207e-10	1.98771384980035e-10	6019	tags=40%, list=21%, signal=32%	ENSG00000100650/ENSG00000167258/ENSG00000185246/ENSG00000165630/ENSG00000170860/ENSG00000003756/ENSG00000229388/ENSG00000165819/ENSG00000110700/ENSG00000131051/ENSG00000100109/ENSG00000125944/ENSG00000065978/ENSG00000174243/ENSG00000100461/ENSG00000125870/ENSG00000165119/ENSG00000197728/ENSG00000007392/ENSG00000204560/ENSG00000141759/ENSG00000096746/ENSG00000111196/ENSG00000147274/ENSG00000099622/ENSG00000132680/ENSG00000133226/ENSG00000076650/ENSG00000004487/ENSG00000116954/ENSG00000106355/ENSG00000100028/ENSG00000079785/ENSG00000100220/ENSG00000099783/ENSG00000175324/ENSG00000100410/ENSG00000113649/ENSG00000153187/ENSG00000136527/ENSG00000143368/ENSG00000074201/ENSG00000112081/ENSG00000161547/ENSG00000145388/ENSG00000137574/ENSG00000136875/ENSG00000188529/ENSG00000104852/ENSG00000131773/ENSG00000111786/ENSG00000122566/ENSG00000116560/ENSG00000117360/ENSG00000061936/ENSG00000204392/ENSG00000135829/ENSG00000109917/ENSG00000170144/ENSG00000139218/ENSG00000143889/ENSG00000120948/ENSG00000082516/ENSG00000145675/ENSG00000100296/ENSG00000162437/ENSG00000084093/ENSG00000102103/ENSG00000067596/ENSG00000115053/ENSG00000113141/ENSG00000145833/ENSG00000119953/ENSG00000136937/ENSG00000101343/ENSG00000102317/ENSG00000168883/ENSG00000164167/ENSG00000115128/ENSG00000172409/ENSG00000011243/ENSG00000115875/ENSG00000108561/ENSG00000132485/ENSG00000092208/ENSG00000115524/ENSG00000149187/ENSG00000108883/ENSG00000116754/ENSG00000054118/ENSG00000122692/ENSG00000123200/ENSG00000159140/ENSG00000159086/ENSG00000126945/ENSG00000064703/ENSG00000183431/ENSG00000221978/ENSG00000174720/ENSG00000160208/ENSG00000109971/ENSG00000060688/ENSG00000112739/ENSG00000167088/ENSG00000087302/ENSG00000110713/ENSG00000138398/ENSG00000117592/ENSG00000096401/ENSG00000131043/ENSG00000154743/ENSG00000153914/ENSG00000089682/ENSG00000163510/ENSG00000021776/ENSG00000169045/ENSG00000096063/ENSG00000137168/ENSG00000114503/ENSG00000273559/ENSG00000146007/ENSG00000076770/ENSG00000204389/ENSG00000124383/ENSG00000122882/ENSG00000100941/ENSG00000048740/ENSG00000100320/ENSG00000127804/ENSG00000154548/ENSG00000122965/ENSG00000139910/ENSG00000119720/ENSG00000102241/ENSG00000092199/ENSG00000152404/ENSG00000162664/ENSG00000132463/ENSG00000100462/ENSG00000109536/ENSG00000116752/ENSG00000103005/ENSG00000106344/ENSG00000182004/ENSG00000140830/ENSG00000163605/ENSG00000023734/ENSG00000134186/ENSG00000108654/ENSG00000039123/ENSG00000005436/ENSG00000196504/ENSG00000101452/ENSG00000152147/ENSG00000119707
GOBP_TRNA_PROCESSING	118	-0.581756946776976	-2.5335731366456	3.03882642448466e-13	2.5402056553338e-10	2.24419997085407e-10	5421	tags=58%, list=19%, signal=47%	ENSG00000092094/ENSG00000171103/ENSG00000072506/ENSG00000169718/ENSG00000166166/ENSG00000100601/ENSG00000065457/ENSG00000126814/ENSG00000079785/ENSG00000178718/ENSG00000100220/ENSG00000138385/ENSG00000104356/ENSG00000087995/ENSG00000138050/ENSG00000145331/ENSG00000066651/ENSG00000165526/ENSG00000145996/ENSG00000165055/ENSG00000101391/ENSG00000165832/ENSG00000109911/ENSG00000164167/ENSG00000113272/ENSG00000173113/ENSG00000172409/ENSG00000070061/ENSG00000100890/ENSG00000160193/ENSG00000065427/ENSG00000091127/ENSG00000189007/ENSG00000122435/ENSG00000177192/ENSG00000162927/ENSG00000124787/ENSG00000148688/ENSG00000110060/ENSG00000124217/ENSG00000087302/ENSG00000104907/ENSG00000162623/ENSG00000152464/ENSG00000151576/ENSG00000154743/ENSG00000066654/ENSG00000154813/ENSG00000123600/ENSG00000037474/ENSG00000145982/ENSG00000155275/ENSG00000198874/ENSG00000169570/ENSG00000103707/ENSG00000132463/ENSG00000089195/ENSG00000006744/ENSG00000162971/ENSG00000178694/ENSG00000163684/ENSG00000072756/ENSG00000137760/ENSG00000115970/ENSG00000174173/ENSG00000183665/ENSG00000136932/ENSG00000277149
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	73	-0.660307202015297	-2.6477645935989	1.42532392278685e-12	9.53161617964992e-10	8.42091375855612e-10	4813	tags=53%, list=17%, signal=45%	ENSG00000150990/ENSG00000233927/ENSG00000147679/ENSG00000087269/ENSG00000141076/ENSG00000171863/ENSG00000179041/ENSG00000253729/ENSG00000137154/ENSG00000124541/ENSG00000120158/ENSG00000164167/ENSG00000227057/ENSG00000112578/ENSG00000182774/ENSG00000196943/ENSG00000138326/ENSG00000132467/ENSG00000124787/ENSG00000165733/ENSG00000130935/ENSG00000117597/ENSG00000058729/ENSG00000272047/ENSG00000065183/ENSG00000278053/ENSG00000181163/ENSG00000167721/ENSG00000182841/ENSG00000181991/ENSG00000120800/ENSG00000164934/ENSG00000108651/ENSG00000119285/ENSG00000079246/ENSG00000135521/ENSG00000115761/ENSG00000124784/ENSG00000151304
