Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOCC_PRERIBOSOME	76	-0.726381592610959	-2.94122607270803	7.95648255513256e-19	1.1401639501505e-15	1.0073026561152e-15	4612	tags=64%, list=16%, signal=54%	ENSG00000147679/ENSG00000114767/ENSG00000087269/ENSG00000108592/ENSG00000141076/ENSG00000136718/ENSG00000171863/ENSG00000179041/ENSG00000253729/ENSG00000053372/ENSG00000124541/ENSG00000227057/ENSG00000112578/ENSG00000117133/ENSG00000196943/ENSG00000164346/ENSG00000111615/ENSG00000198042/ENSG00000132467/ENSG00000160208/ENSG00000183520/ENSG00000171490/ENSG00000165733/ENSG00000101361/ENSG00000165271/ENSG00000117597/ENSG00000138442/ENSG00000058729/ENSG00000065183/ENSG00000124383/ENSG00000167721/ENSG00000182841/ENSG00000117395/ENSG00000120800/ENSG00000164934/ENSG00000156697/ENSG00000108651/ENSG00000055044/ENSG00000119285/ENSG00000067533/ENSG00000011260/ENSG00000079246/ENSG00000148843/ENSG00000132603/ENSG00000135521/ENSG00000115761/ENSG00000124784/ENSG00000151304/ENSG00000134987
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	260	-0.45486190571669	-2.18194112739909	6.68540944878509e-13	4.79009587005452e-10	4.23191444731742e-10	5666	tags=43%, list=20%, signal=35%	ENSG00000101365/ENSG00000167085/ENSG00000048544/ENSG00000150779/ENSG00000165629/ENSG00000254858/ENSG00000072506/ENSG00000127184/ENSG00000172590/ENSG00000074582/ENSG00000143314/ENSG00000124172/ENSG00000158882/ENSG00000136897/ENSG00000182180/ENSG00000126953/ENSG00000082515/ENSG00000138035/ENSG00000197345/ENSG00000198804/ENSG00000074071/ENSG00000204822/ENSG00000198727/ENSG00000184752/ENSG00000155008/ENSG00000266472/ENSG00000165487/ENSG00000198763/ENSG00000141385/ENSG00000130414/ENSG00000117118/ENSG00000171109/ENSG00000243147/ENSG00000164405/ENSG00000159199/ENSG00000242485/ENSG00000154723/ENSG00000128609/ENSG00000131828/ENSG00000198840/ENSG00000178741/ENSG00000215021/ENSG00000168291/ENSG00000243927/ENSG00000110955/ENSG00000164258/ENSG00000100347/ENSG00000250479/ENSG00000083123/ENSG00000119013/ENSG00000106591/ENSG00000116459/ENSG00000163319/ENSG00000198888/ENSG00000165264/ENSG00000185608/ENSG00000145494/ENSG00000154518/ENSG00000158864/ENSG00000137992/ENSG00000119421/ENSG00000100890/ENSG00000172340/ENSG00000152234/ENSG00000132313/ENSG00000198938/ENSG00000184903/ENSG00000278845/ENSG00000110435/ENSG00000175581/ENSG00000075336/ENSG00000113013/ENSG00000198712/ENSG00000259494/ENSG00000156467/ENSG00000099800/ENSG00000004779/ENSG00000140740/ENSG00000131174/ENSG00000135900/ENSG00000134056/ENSG00000136522/ENSG00000091140/ENSG00000007923/ENSG00000100216/ENSG00000132305/ENSG00000006530/ENSG00000156502/ENSG00000172172/ENSG00000023228/ENSG00000164919/ENSG00000061794/ENSG00000134375/ENSG00000154174/ENSG00000163541/ENSG00000198786/ENSG00000181991/ENSG00000150768/ENSG00000198015/ENSG00000265354/ENSG00000106554/ENSG00000090263/ENSG00000131844/ENSG00000134809/ENSG00000114686/ENSG00000178694/ENSG00000115364/ENSG00000112996/ENSG00000174173/ENSG00000100575/ENSG00000135972/ENSG00000132676/ENSG00000113048
GOCC_SMALL_SUBUNIT_PROCESSOME	38	-0.775771896662513	-2.78059673314505	2.67163966533434e-12	1.67495109268555e-09	1.47977199621381e-09	4612	tags=71%, list=16%, signal=60%	ENSG00000147679/ENSG00000114767/ENSG00000087269/ENSG00000141076/ENSG00000136718/ENSG00000171863/ENSG00000253729/ENSG00000227057/ENSG00000111615/ENSG00000132467/ENSG00000183520/ENSG00000101361/ENSG00000165271/ENSG00000117597/ENSG00000065183/ENSG00000124383/ENSG00000120800/ENSG00000164934/ENSG00000156697/ENSG00000108651/ENSG00000055044/ENSG00000119285/ENSG00000011260/ENSG00000079246/ENSG00000148843/ENSG00000115761/ENSG00000134987
GOCC_MITOCHONDRIAL_MATRIX	437	-0.381175804004147	-1.93668816468981	1.07408303272651e-11	5.3870634506398e-09	4.75931844869709e-09	6169	tags=39%, list=22%, signal=31%	ENSG00000165672/ENSG00000102309/ENSG00000083720/ENSG00000105953/ENSG00000118689/ENSG00000164362/ENSG00000173124/ENSG00000149792/ENSG00000125445/ENSG00000196636/ENSG00000105607/ENSG00000197785/ENSG00000124279/ENSG00000101365/ENSG00000048544/ENSG00000198130/ENSG00000126432/ENSG00000132153/ENSG00000116353/ENSG00000171103/ENSG00000029639/ENSG00000165629/ENSG00000139131/ENSG00000254858/ENSG00000072506/ENSG00000106028/ENSG00000172590/ENSG00000188266/ENSG00000147592/ENSG00000151498/ENSG00000143314/ENSG00000124172/ENSG00000065154/ENSG00000151376/ENSG00000136897/ENSG00000284194/ENSG00000182180/ENSG00000082515/ENSG00000138035/ENSG00000128928/ENSG00000197580/ENSG00000067704/ENSG00000126814/ENSG00000197345/ENSG00000160691/ENSG00000102931/ENSG00000074071/ENSG00000160688/ENSG00000204822/ENSG00000266472/ENSG00000197448/ENSG00000162972/ENSG00000174840/ENSG00000130414/ENSG00000243147/ENSG00000008311/ENSG00000132423/ENSG00000178568/ENSG00000242485/ENSG00000163738/ENSG00000112304/ENSG00000131828/ENSG00000119673/ENSG00000130349/ENSG00000161267/ENSG00000168291/ENSG00000243927/ENSG00000146282/ENSG00000182810/ENSG00000110955/ENSG00000186687/ENSG00000165526/ENSG00000119943/ENSG00000214113/ENSG00000083123/ENSG00000137513/ENSG00000125166/ENSG00000027001/ENSG00000106591/ENSG00000116459/ENSG00000163319/ENSG00000091483/ENSG00000185608/ENSG00000204390/ENSG00000112294/ENSG00000108561/ENSG00000158864/ENSG00000137992/ENSG00000144381/ENSG00000100890/ENSG00000178952/ENSG00000172340/ENSG00000152234/ENSG00000132313/ENSG00000196177/ENSG00000065427/ENSG00000278845/ENSG00000110435/ENSG00000175581/ENSG00000066926/ENSG00000113013/ENSG00000164904/ENSG00000171861/ENSG00000259494/ENSG00000011376/ENSG00000177192/ENSG00000140905/ENSG00000148187/ENSG00000167112/ENSG00000112096/ENSG00000004779/ENSG00000136143/ENSG00000127884/ENSG00000135900/ENSG00000162851/ENSG00000103356/ENSG00000134056/ENSG00000136371/ENSG00000136522/ENSG00000108064/ENSG00000164347/ENSG00000091140/ENSG00000115541/ENSG00000168827/ENSG00000178700/ENSG00000156502/ENSG00000172172/ENSG00000023228/ENSG00000170502/ENSG00000114054/ENSG00000086189/ENSG00000227345/ENSG00000103423/ENSG00000061794/ENSG00000116288/ENSG00000163541/ENSG00000121897/ENSG00000181991/ENSG00000076043/ENSG00000150768/ENSG00000182512/ENSG00000148459/ENSG00000082212/ENSG00000145982/ENSG00000198015/ENSG00000140374/ENSG00000090263/ENSG00000132463/ENSG00000138095/ENSG00000131844/ENSG00000006744/ENSG00000120832/ENSG00000114686/ENSG00000178694/ENSG00000138399/ENSG00000072756/ENSG00000116874/ENSG00000107815/ENSG00000101181/ENSG00000115364/ENSG00000112996/ENSG00000174173/ENSG00000183044/ENSG00000151806/ENSG00000175198/ENSG00000171552/ENSG00000135972/ENSG00000132676/ENSG00000118246/ENSG00000164163/ENSG00000113048
GOCC_SPLICEOSOMAL_COMPLEX	182	-0.473585169560379	-2.18847826183287	1.24146546835861e-10	5.18880838046052e-08	4.58416569215402e-08	7268	tags=51%, list=25%, signal=38%	ENSG00000128534/ENSG00000105618/ENSG00000171566/ENSG00000095787/ENSG00000153015/ENSG00000162385/ENSG00000150316/ENSG00000139343/ENSG00000113593/ENSG00000110107/ENSG00000132792/ENSG00000189091/ENSG00000134748/ENSG00000185246/ENSG00000165630/ENSG00000170860/ENSG00000003756/ENSG00000100109/ENSG00000125944/ENSG00000065978/ENSG00000174243/ENSG00000125870/ENSG00000165119/ENSG00000160799/ENSG00000007392/ENSG00000204560/ENSG00000141759/ENSG00000096746/ENSG00000111196/ENSG00000147274/ENSG00000099622/ENSG00000133226/ENSG00000076650/ENSG00000106355/ENSG00000100028/ENSG00000099783/ENSG00000100410/ENSG00000153187/ENSG00000136527/ENSG00000143368/ENSG00000074201/ENSG00000161547/ENSG00000136875/ENSG00000104852/ENSG00000122566/ENSG00000117360/ENSG00000204392/ENSG00000170144/ENSG00000067596/ENSG00000115053/ENSG00000113141/ENSG00000119953/ENSG00000101343/ENSG00000102317/ENSG00000168883/ENSG00000164167/ENSG00000115128/ENSG00000092208/ENSG00000115524/ENSG00000108883/ENSG00000122692/ENSG00000183431/ENSG00000109971/ENSG00000060688/ENSG00000112739/ENSG00000167088/ENSG00000096401/ENSG00000131043/ENSG00000153914/ENSG00000089682/ENSG00000163510/ENSG00000021776/ENSG00000169045/ENSG00000137168/ENSG00000273559/ENSG00000146007/ENSG00000100941/ENSG00000102241/ENSG00000092199/ENSG00000152404/ENSG00000109536/ENSG00000116752/ENSG00000106344/ENSG00000182004/ENSG00000140830/ENSG00000134186/ENSG00000108654/ENSG00000166181/ENSG00000039123/ENSG00000005436/ENSG00000196504/ENSG00000101452
GOCC_DNA_PACKAGING_COMPLEX	120	0.524948246927905	2.31595903117834	8.46679283711499e-10	2.83101329830335e-07	2.50112031212881e-07	5366	tags=51%, list=19%, signal=41%	ENSG00000180573/ENSG00000187837/ENSG00000270276/ENSG00000277775/ENSG00000124635/ENSG00000273703/ENSG00000278828/ENSG00000288859/ENSG00000146918/ENSG00000278705/ENSG00000158373/ENSG00000197238/ENSG00000158406/ENSG00000273213/ENSG00000168298/ENSG00000276966/ENSG00000185130/ENSG00000274618/ENSG00000273542/ENSG00000010292/ENSG00000287080/ENSG00000197903/ENSG00000273983/ENSG00000180596/ENSG00000275379/ENSG00000196747/ENSG00000184260/ENSG00000286522/ENSG00000184897/ENSG00000197153/ENSG00000203811/ENSG00000278677/ENSG00000277157/ENSG00000276180/ENSG00000184678/ENSG00000273802/ENSG00000203852/ENSG00000196787/ENSG00000183598/ENSG00000184270/ENSG00000188375/ENSG00000275714/ENSG00000025770/ENSG00000121152/ENSG00000234289/ENSG00000276903/ENSG00000172977/ENSG00000197837/ENSG00000101189/ENSG00000278588/ENSG00000274641/ENSG00000124575/ENSG00000277075/ENSG00000274997/ENSG00000187475/ENSG00000197061/ENSG00000270882/ENSG00000151503/ENSG00000203814/ENSG00000188486/ENSG00000274183
GOCC_RNA_POLYMERASE_COMPLEX	99	-0.540875023772953	-2.29792519692012	2.95645922401469e-09	8.72242425767391e-07	7.70601554395654e-07	7013	tags=55%, list=25%, signal=41%	ENSG00000168002/ENSG00000153767/ENSG00000102387/ENSG00000145736/ENSG00000134058/ENSG00000171453/ENSG00000165632/ENSG00000137947/ENSG00000020426/ENSG00000101413/ENSG00000164362/ENSG00000135801/ENSG00000166477/ENSG00000269900/ENSG00000198730/ENSG00000255529/ENSG00000163125/ENSG00000196284/ENSG00000130699/ENSG00000148835/ENSG00000110768/ENSG00000100413/ENSG00000165417/ENSG00000183474/ENSG00000141425/ENSG00000058600/ENSG00000137054/ENSG00000147133/ENSG00000125630/ENSG00000140307/ENSG00000137815/ENSG00000187325/ENSG00000117877/ENSG00000148606/ENSG00000132664/ENSG00000134371/ENSG00000028839/ENSG00000188342/ENSG00000272047/ENSG00000197780/ENSG00000144231/ENSG00000147669/ENSG00000213780/ENSG00000013503/ENSG00000068654/ENSG00000064313/ENSG00000111358/ENSG00000164329/ENSG00000047315/ENSG00000105849/ENSG00000122484/ENSG00000113356/ENSG00000140395/ENSG00000197265
GOCC_RIBOSOME	198	-0.432074020206142	-2.01365636400593	8.51396891311305e-09	2.24746374124834e-06	1.98557075566479e-06	5962	tags=37%, list=21%, signal=29%	ENSG00000149792/ENSG00000125445/ENSG00000112306/ENSG00000110700/ENSG00000048544/ENSG00000114391/ENSG00000165502/ENSG00000254858/ENSG00000172590/ENSG00000197728/ENSG00000125691/ENSG00000143314/ENSG00000136897/ENSG00000182180/ENSG00000082515/ENSG00000138035/ENSG00000233927/ENSG00000197345/ENSG00000074071/ENSG00000204822/ENSG00000089154/ENSG00000266472/ENSG00000109475/ENSG00000243147/ENSG00000242485/ENSG00000171863/ENSG00000243927/ENSG00000187522/ENSG00000135829/ENSG00000100823/ENSG00000089009/ENSG00000137154/ENSG00000106591/ENSG00000163319/ENSG00000107929/ENSG00000285219/ENSG00000185608/ENSG00000037241/ENSG00000182774/ENSG00000122026/ENSG00000161970/ENSG00000132313/ENSG00000278845/ENSG00000241343/ENSG00000175581/ENSG00000265681/ENSG00000259494/ENSG00000138326/ENSG00000116251/ENSG00000135900/ENSG00000134056/ENSG00000136522/ENSG00000172172/ENSG00000163584/ENSG00000108256/ENSG00000143947/ENSG00000061794/ENSG00000146223/ENSG00000067248/ENSG00000181991/ENSG00000198015/ENSG00000090263/ENSG00000147677/ENSG00000114686/ENSG00000178694/ENSG00000158092/ENSG00000101181/ENSG00000115364/ENSG00000112996/ENSG00000135972/ENSG00000132676/ENSG00000169288/ENSG00000113048
GOCC_90S_PRERIBOSOME	29	-0.738721600364416	-2.45807639995755	2.12097283321128e-08	5.18914109510789e-06	4.58445963615039e-06	4253	tags=62%, list=15%, signal=53%	ENSG00000087269/ENSG00000141076/ENSG00000136718/ENSG00000124541/ENSG00000196943/ENSG00000171490/ENSG00000165733/ENSG00000165271/ENSG00000138442/ENSG00000065183/ENSG00000124383/ENSG00000182841/ENSG00000120800/ENSG00000108651/ENSG00000119285/ENSG00000011260/ENSG00000151304/ENSG00000134987
GOCC_PEPTIDASE_COMPLEX	99	-0.511474041558422	-2.17301416410206	7.13137438350308e-08	1.49030867585249e-05	1.31664563453317e-05	6599	tags=52%, list=23%, signal=40%	ENSG00000276234/ENSG00000011422/ENSG00000119760/ENSG00000013275/ENSG00000110801/ENSG00000140612/ENSG00000135801/ENSG00000091164/ENSG00000129084/ENSG00000132906/ENSG00000165916/ENSG00000118363/ENSG00000103035/ENSG00000114902/ENSG00000176476/ENSG00000196284/ENSG00000175166/ENSG00000008018/ENSG00000100902/ENSG00000095261/ENSG00000141385/ENSG00000087191/ENSG00000108671/ENSG00000100567/ENSG00000161057/ENSG00000101182/ENSG00000101843/ENSG00000041357/ENSG00000185627/ENSG00000078098/ENSG00000165280/ENSG00000068878/ENSG00000142892/ENSG00000136930/ENSG00000100804/ENSG00000159459/ENSG00000100911/ENSG00000131467/ENSG00000125818/ENSG00000115233/ENSG00000173692/ENSG00000100519/ENSG00000129128/ENSG00000114062/ENSG00000009335/ENSG00000116750/ENSG00000163636/ENSG00000143106/ENSG00000101557/ENSG00000102710/ENSG00000197170
