Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HP_INCREASED_SERUM_LACTATE	170	-0.502130062227555	-2.30957333862434	3.17954027261578e-12	1.77188713747827e-09	1.56541225468727e-09	5360	tags=45%, list=19%, signal=37%	ENSG00000122335/ENSG00000139131/ENSG00000072506/ENSG00000074582/ENSG00000173085/ENSG00000284194/ENSG00000182180/ENSG00000138035/ENSG00000126814/ENSG00000198804/ENSG00000178449/ENSG00000074071/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000117118/ENSG00000164405/ENSG00000159082/ENSG00000131828/ENSG00000198840/ENSG00000178741/ENSG00000146282/ENSG00000162129/ENSG00000186687/ENSG00000164258/ENSG00000250479/ENSG00000155906/ENSG00000137513/ENSG00000125166/ENSG00000027001/ENSG00000148290/ENSG00000198888/ENSG00000108561/ENSG00000087470/ENSG00000158864/ENSG00000119421/ENSG00000178952/ENSG00000198938/ENSG00000065427/ENSG00000110435/ENSG00000198712/ENSG00000156709/ENSG00000177192/ENSG00000156467/ENSG00000075415/ENSG00000156873/ENSG00000140740/ENSG00000127884/ENSG00000135900/ENSG00000103356/ENSG00000164347/ENSG00000091140/ENSG00000168827/ENSG00000006530/ENSG00000023228/ENSG00000163541/ENSG00000121897/ENSG00000198786/ENSG00000006695/ENSG00000167113/ENSG00000148459/ENSG00000145982/ENSG00000156170/ENSG00000103707/ENSG00000138095/ENSG00000108439/ENSG00000164182/ENSG00000171204/ENSG00000114686/ENSG00000116874/ENSG00000107815/ENSG00000174173/ENSG00000113643/ENSG00000088682/ENSG00000101247/ENSG00000118246/ENSG00000133028
HP_LACTIC_ACIDOSIS	160	-0.483126799646943	-2.2080286744209	8.25633718341997e-10	2.83101329830335e-07	2.50112031212881e-07	5360	tags=48%, list=19%, signal=39%	ENSG00000122335/ENSG00000139131/ENSG00000072506/ENSG00000074582/ENSG00000133706/ENSG00000173085/ENSG00000124172/ENSG00000257218/ENSG00000284194/ENSG00000182180/ENSG00000196511/ENSG00000198804/ENSG00000074071/ENSG00000198727/ENSG00000198763/ENSG00000130414/ENSG00000131828/ENSG00000198840/ENSG00000168291/ENSG00000224877/ENSG00000165688/ENSG00000186687/ENSG00000164258/ENSG00000184979/ENSG00000214113/ENSG00000155906/ENSG00000083123/ENSG00000027001/ENSG00000119013/ENSG00000130348/ENSG00000148290/ENSG00000198888/ENSG00000091483/ENSG00000145494/ENSG00000123545/ENSG00000087470/ENSG00000158864/ENSG00000137992/ENSG00000119421/ENSG00000178952/ENSG00000198938/ENSG00000110435/ENSG00000168275/ENSG00000164904/ENSG00000198712/ENSG00000011376/ENSG00000177192/ENSG00000075415/ENSG00000156873/ENSG00000136143/ENSG00000103356/ENSG00000091140/ENSG00000006530/ENSG00000023228/ENSG00000114054/ENSG00000004864/ENSG00000163541/ENSG00000121897/ENSG00000198786/ENSG00000006695/ENSG00000150768/ENSG00000145982/ENSG00000156170/ENSG00000143919/ENSG00000138095/ENSG00000006744/ENSG00000164182/ENSG00000171204/ENSG00000059691/ENSG00000072756/ENSG00000116874/ENSG00000174173/ENSG00000088682/ENSG00000101247/ENSG00000113845/ENSG00000175198
HP_ABNORMALITY_OF_THE_MITOCHONDRION	162	-0.475872458073585	-2.17501420296149	7.907712390619e-10	2.83101329830335e-07	2.50112031212881e-07	4990	tags=42%, list=17%, signal=35%	ENSG00000151498/ENSG00000124172/ENSG00000257218/ENSG00000131183/ENSG00000138035/ENSG00000126814/ENSG00000198804/ENSG00000198727/ENSG00000184752/ENSG00000198763/ENSG00000141385/ENSG00000130414/ENSG00000117118/ENSG00000181610/ENSG00000131828/ENSG00000198840/ENSG00000178741/ENSG00000168291/ENSG00000224877/ENSG00000164258/ENSG00000120948/ENSG00000250479/ENSG00000119013/ENSG00000130348/ENSG00000148290/ENSG00000198888/ENSG00000145494/ENSG00000123545/ENSG00000087470/ENSG00000158864/ENSG00000119421/ENSG00000198938/ENSG00000065427/ENSG00000110435/ENSG00000176410/ENSG00000168958/ENSG00000131368/ENSG00000168275/ENSG00000198712/ENSG00000165280/ENSG00000075415/ENSG00000136143/ENSG00000127884/ENSG00000103356/ENSG00000183735/ENSG00000091140/ENSG00000168827/ENSG00000040531/ENSG00000023228/ENSG00000132300/ENSG00000163541/ENSG00000198786/ENSG00000150768/ENSG00000182512/ENSG00000156170/ENSG00000143919/ENSG00000140374/ENSG00000092054/ENSG00000103707/ENSG00000163754/ENSG00000138095/ENSG00000164182/ENSG00000171204/ENSG00000113790/ENSG00000107815/ENSG00000101247/ENSG00000113845/ENSG00000133028
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS	350	-0.380943529734272	-1.89797114682099	1.50806633927558e-09	4.72731670289791e-07	4.17645082577667e-07	5079	tags=35%, list=18%, signal=29%	ENSG00000074582/ENSG00000133706/ENSG00000102743/ENSG00000173085/ENSG00000124172/ENSG00000257218/ENSG00000131183/ENSG00000284194/ENSG00000182180/ENSG00000196511/ENSG00000138035/ENSG00000128928/ENSG00000080493/ENSG00000204644/ENSG00000126814/ENSG00000198804/ENSG00000178449/ENSG00000074071/ENSG00000198727/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000117118/ENSG00000164405/ENSG00000155380/ENSG00000134250/ENSG00000159082/ENSG00000234745/ENSG00000131828/ENSG00000198840/ENSG00000178741/ENSG00000168291/ENSG00000224877/ENSG00000146282/ENSG00000165688/ENSG00000162129/ENSG00000186687/ENSG00000164258/ENSG00000084774/ENSG00000184979/ENSG00000214113/ENSG00000250479/ENSG00000155906/ENSG00000083123/ENSG00000137513/ENSG00000125166/ENSG00000027001/ENSG00000119013/ENSG00000130348/ENSG00000148290/ENSG00000198888/ENSG00000036257/ENSG00000091483/ENSG00000168288/ENSG00000145494/ENSG00000108561/ENSG00000123545/ENSG00000087470/ENSG00000158864/ENSG00000137992/ENSG00000119421/ENSG00000178952/ENSG00000198938/ENSG00000065427/ENSG00000115414/ENSG00000110435/ENSG00000168275/ENSG00000164904/ENSG00000198712/ENSG00000011376/ENSG00000156709/ENSG00000177192/ENSG00000156467/ENSG00000075415/ENSG00000119509/ENSG00000156873/ENSG00000136143/ENSG00000140740/ENSG00000127884/ENSG00000135900/ENSG00000103356/ENSG00000113946/ENSG00000164347/ENSG00000091140/ENSG00000168827/ENSG00000006530/ENSG00000040531/ENSG00000023228/ENSG00000114054/ENSG00000004864/ENSG00000136244/ENSG00000163541/ENSG00000121897/ENSG00000198786/ENSG00000006695/ENSG00000150768/ENSG00000167113/ENSG00000148459/ENSG00000145982/ENSG00000156170/ENSG00000143919/ENSG00000140374/ENSG00000118965/ENSG00000103707/ENSG00000138095/ENSG00000108439/ENSG00000131844/ENSG00000006744/ENSG00000164182/ENSG00000171204/ENSG00000059691/ENSG00000114686/ENSG00000113790/ENSG00000072756/ENSG00000116874/ENSG00000107815/ENSG00000174173/ENSG00000113643/ENSG00000088682/ENSG00000101247/ENSG00000113845/ENSG00000175198/ENSG00000118246/ENSG00000133028
HP_INCREASED_CSF_LACTATE	86	-0.557588938064702	-2.28914090977394	2.58835390317064e-08	5.99405834167005e-06	5.29558129572223e-06	4806	tags=48%, list=17%, signal=40%	ENSG00000284194/ENSG00000138035/ENSG00000198804/ENSG00000178449/ENSG00000074071/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000131828/ENSG00000198840/ENSG00000224877/ENSG00000146282/ENSG00000164258/ENSG00000155906/ENSG00000137513/ENSG00000119013/ENSG00000148290/ENSG00000198888/ENSG00000145494/ENSG00000123545/ENSG00000158864/ENSG00000119421/ENSG00000198938/ENSG00000110435/ENSG00000198712/ENSG00000156709/ENSG00000127884/ENSG00000164347/ENSG00000168827/ENSG00000023228/ENSG00000163541/ENSG00000198786/ENSG00000006695/ENSG00000156170/ENSG00000103707/ENSG00000138095/ENSG00000164182/ENSG00000171204/ENSG00000174173/ENSG00000101247/ENSG00000113845
HP_ABNORMAL_CSF_METABOLITE_LEVEL	105	-0.508601259721378	-2.18101743934963	5.53785963146845e-08	1.18192063751617e-05	1.0441935103546e-05	4806	tags=45%, list=17%, signal=37%	ENSG00000284194/ENSG00000138035/ENSG00000198804/ENSG00000178449/ENSG00000074071/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000131828/ENSG00000198840/ENSG00000224877/ENSG00000146282/ENSG00000164258/ENSG00000155906/ENSG00000137513/ENSG00000119013/ENSG00000148290/ENSG00000198888/ENSG00000145494/ENSG00000123545/ENSG00000158864/ENSG00000119421/ENSG00000131979/ENSG00000198938/ENSG00000065427/ENSG00000110435/ENSG00000198712/ENSG00000164342/ENSG00000156709/ENSG00000127884/ENSG00000183735/ENSG00000164347/ENSG00000168827/ENSG00000023228/ENSG00000163541/ENSG00000198786/ENSG00000006695/ENSG00000156170/ENSG00000153574/ENSG00000103707/ENSG00000138095/ENSG00000108439/ENSG00000164182/ENSG00000171204/ENSG00000174173/ENSG00000101247/ENSG00000113845
HP_ABNORMAL_CNS_MYELINATION	282	-0.379265118138312	-1.84087966598595	1.6492681363419e-07	3.00796521375374e-05	2.65745233298802e-05	5093	tags=36%, list=18%, signal=30%	ENSG00000101347/ENSG00000145375/ENSG00000125877/ENSG00000168036/ENSG00000049618/ENSG00000150990/ENSG00000284194/ENSG00000145191/ENSG00000103089/ENSG00000138035/ENSG00000004487/ENSG00000204842/ENSG00000182220/ENSG00000178449/ENSG00000151834/ENSG00000095319/ENSG00000164066/ENSG00000133422/ENSG00000184752/ENSG00000149196/ENSG00000198763/ENSG00000119718/ENSG00000065000/ENSG00000130414/ENSG00000117118/ENSG00000145331/ENSG00000131828/ENSG00000198840/ENSG00000224877/ENSG00000106305/ENSG00000164258/ENSG00000182578/ENSG00000173614/ENSG00000253729/ENSG00000243989/ENSG00000155906/ENSG00000137513/ENSG00000116903/ENSG00000119013/ENSG00000148290/ENSG00000198888/ENSG00000225830/ENSG00000111361/ENSG00000205090/ENSG00000036257/ENSG00000112294/ENSG00000145494/ENSG00000090674/ENSG00000173402/ENSG00000172339/ENSG00000123545/ENSG00000158864/ENSG00000144381/ENSG00000108381/ENSG00000178952/ENSG00000114573/ENSG00000065427/ENSG00000164022/ENSG00000114861/ENSG00000020129/ENSG00000106460/ENSG00000164904/ENSG00000197601/ENSG00000160563/ENSG00000156709/ENSG00000127884/ENSG00000108474/ENSG00000136371/ENSG00000148606/ENSG00000277161/ENSG00000197381/ENSG00000161533/ENSG00000137168/ENSG00000127980/ENSG00000023228/ENSG00000159063/ENSG00000272047/ENSG00000070785/ENSG00000013503/ENSG00000121897/ENSG00000182512/ENSG00000156170/ENSG00000112357/ENSG00000103707/ENSG00000138095/ENSG00000164182/ENSG00000133835/ENSG00000110367/ENSG00000171204/ENSG00000072756/ENSG00000049167/ENSG00000113643/ENSG00000125378/ENSG00000183044/ENSG00000101247/ENSG00000072210/ENSG00000113845/ENSG00000197265/ENSG00000104381/ENSG00000197121/ENSG00000112685/ENSG00000115840
HP_SCOTOMA	65	-0.556717836924701	-2.20968808630663	8.27703705787983e-07	0.000117598616285484	0.000103895056955804	4787	tags=46%, list=17%, signal=38%	ENSG00000126953/ENSG00000198804/ENSG00000198727/ENSG00000007062/ENSG00000198763/ENSG00000139323/ENSG00000117360/ENSG00000144285/ENSG00000198836/ENSG00000081148/ENSG00000137474/ENSG00000198888/ENSG00000087470/ENSG00000158864/ENSG00000164073/ENSG00000198938/ENSG00000130347/ENSG00000176410/ENSG00000095397/ENSG00000116688/ENSG00000170445/ENSG00000115380/ENSG00000112619/ENSG00000150275/ENSG00000198786/ENSG00000164209/ENSG00000072756/ENSG00000118217/ENSG00000164199/ENSG00000157869
HP_PIGMENTARY_RETINOPATHY	148	-0.417936732183237	-1.87356887708092	1.89384414581268e-06	0.000240470261096797	0.000212448685724143	4746	tags=35%, list=17%, signal=29%	ENSG00000113966/ENSG00000135541/ENSG00000132549/ENSG00000198804/ENSG00000133422/ENSG00000007062/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000117118/ENSG00000122507/ENSG00000163818/ENSG00000131828/ENSG00000198840/ENSG00000163635/ENSG00000164258/ENSG00000081148/ENSG00000004961/ENSG00000148290/ENSG00000198888/ENSG00000225830/ENSG00000096872/ENSG00000170264/ENSG00000158864/ENSG00000175595/ENSG00000164073/ENSG00000188107/ENSG00000169379/ENSG00000198938/ENSG00000198712/ENSG00000181027/ENSG00000127884/ENSG00000131174/ENSG00000125863/ENSG00000198515/ENSG00000148606/ENSG00000161533/ENSG00000040531/ENSG00000127980/ENSG00000023228/ENSG00000108395/ENSG00000112619/ENSG00000198786/ENSG00000156170/ENSG00000165533/ENSG00000103707/ENSG00000164182/ENSG00000049167/ENSG00000125459/ENSG00000101247/ENSG00000102218/ENSG00000072121
HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN	86	-0.50840932013831	-2.08723755833175	2.077882741919e-06	0.000257323972644315	0.000227338463992412	4961	tags=59%, list=17%, signal=49%	ENSG00000183048/ENSG00000114956/ENSG00000203667/ENSG00000135917/ENSG00000186010/ENSG00000110717/ENSG00000183978/ENSG00000166548/ENSG00000120333/ENSG00000144741/ENSG00000189043/ENSG00000105197/ENSG00000184983/ENSG00000124172/ENSG00000257218/ENSG00000126814/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000117118/ENSG00000181610/ENSG00000131828/ENSG00000198840/ENSG00000178741/ENSG00000224877/ENSG00000164258/ENSG00000119013/ENSG00000130348/ENSG00000148290/ENSG00000198888/ENSG00000145494/ENSG00000123545/ENSG00000158864/ENSG00000119421/ENSG00000065427/ENSG00000131368/ENSG00000168275/ENSG00000136143/ENSG00000127884/ENSG00000103356/ENSG00000168827/ENSG00000023228/ENSG00000132300/ENSG00000163541/ENSG00000156170/ENSG00000103707/ENSG00000138095/ENSG00000164182/ENSG00000171204/ENSG00000101247/ENSG00000113845
