Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HP_INCREASED_SERUM_LACTATE	159	-0.453508433205499	-2.16091921236512	1.35182239794575e-09	6.50301674656235e-07	5.99386983697348e-07	3830	tags=48%, list=25%, signal=36%	ENSG00000122335/ENSG00000139131/ENSG00000072506/ENSG00000074582/ENSG00000173085/ENSG00000284194/ENSG00000182180/ENSG00000138035/ENSG00000126814/ENSG00000198804/ENSG00000074071/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000117118/ENSG00000164405/ENSG00000159082/ENSG00000131828/ENSG00000198840/ENSG00000178741/ENSG00000146282/ENSG00000162129/ENSG00000186687/ENSG00000164258/ENSG00000250479/ENSG00000155906/ENSG00000137513/ENSG00000125166/ENSG00000027001/ENSG00000148290/ENSG00000198888/ENSG00000108561/ENSG00000087470/ENSG00000158864/ENSG00000119421/ENSG00000178952/ENSG00000198938/ENSG00000065427/ENSG00000110435/ENSG00000198712/ENSG00000156709/ENSG00000177192/ENSG00000156467/ENSG00000075415/ENSG00000156873/ENSG00000140740/ENSG00000127884/ENSG00000135900/ENSG00000103356/ENSG00000164347/ENSG00000091140/ENSG00000168827/ENSG00000006530/ENSG00000023228/ENSG00000163541/ENSG00000121897/ENSG00000198786/ENSG00000006695/ENSG00000167113/ENSG00000148459/ENSG00000145982/ENSG00000156170/ENSG00000103707/ENSG00000138095/ENSG00000108439/ENSG00000164182/ENSG00000171204/ENSG00000114686/ENSG00000116874/ENSG00000107815/ENSG00000174173/ENSG00000113643/ENSG00000088682/ENSG00000101247/ENSG00000118246/ENSG00000133028
HP_LACTIC_ACIDOSIS	152	-0.430605791800409	-2.04087650126867	5.5820472734017e-08	1.66672232208225e-05	1.5362280372752e-05	3830	tags=50%, list=25%, signal=38%	ENSG00000122335/ENSG00000139131/ENSG00000072506/ENSG00000074582/ENSG00000133706/ENSG00000173085/ENSG00000124172/ENSG00000257218/ENSG00000284194/ENSG00000182180/ENSG00000196511/ENSG00000198804/ENSG00000074071/ENSG00000198727/ENSG00000198763/ENSG00000130414/ENSG00000131828/ENSG00000198840/ENSG00000168291/ENSG00000224877/ENSG00000165688/ENSG00000186687/ENSG00000164258/ENSG00000184979/ENSG00000214113/ENSG00000155906/ENSG00000083123/ENSG00000027001/ENSG00000119013/ENSG00000130348/ENSG00000148290/ENSG00000198888/ENSG00000091483/ENSG00000145494/ENSG00000123545/ENSG00000087470/ENSG00000158864/ENSG00000137992/ENSG00000119421/ENSG00000178952/ENSG00000198938/ENSG00000110435/ENSG00000168275/ENSG00000164904/ENSG00000198712/ENSG00000011376/ENSG00000177192/ENSG00000075415/ENSG00000156873/ENSG00000136143/ENSG00000103356/ENSG00000091140/ENSG00000006530/ENSG00000023228/ENSG00000114054/ENSG00000004864/ENSG00000163541/ENSG00000121897/ENSG00000198786/ENSG00000006695/ENSG00000150768/ENSG00000145982/ENSG00000156170/ENSG00000143919/ENSG00000138095/ENSG00000006744/ENSG00000164182/ENSG00000171204/ENSG00000059691/ENSG00000072756/ENSG00000116874/ENSG00000174173/ENSG00000088682/ENSG00000101247/ENSG00000113845/ENSG00000175198
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS	303	-0.352637087425119	-1.81543849041645	1.10448076169637e-07	2.98865591110278e-05	2.75466221552037e-05	3670	tags=40%, list=24%, signal=31%	ENSG00000074582/ENSG00000133706/ENSG00000102743/ENSG00000173085/ENSG00000124172/ENSG00000257218/ENSG00000284194/ENSG00000182180/ENSG00000196511/ENSG00000138035/ENSG00000128928/ENSG00000080493/ENSG00000204644/ENSG00000126814/ENSG00000198804/ENSG00000074071/ENSG00000198727/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000117118/ENSG00000164405/ENSG00000155380/ENSG00000134250/ENSG00000159082/ENSG00000234745/ENSG00000131828/ENSG00000198840/ENSG00000178741/ENSG00000168291/ENSG00000224877/ENSG00000146282/ENSG00000165688/ENSG00000162129/ENSG00000186687/ENSG00000164258/ENSG00000084774/ENSG00000184979/ENSG00000214113/ENSG00000250479/ENSG00000155906/ENSG00000083123/ENSG00000137513/ENSG00000125166/ENSG00000027001/ENSG00000119013/ENSG00000130348/ENSG00000148290/ENSG00000198888/ENSG00000036257/ENSG00000091483/ENSG00000168288/ENSG00000145494/ENSG00000108561/ENSG00000123545/ENSG00000087470/ENSG00000158864/ENSG00000137992/ENSG00000119421/ENSG00000178952/ENSG00000198938/ENSG00000065427/ENSG00000110435/ENSG00000168275/ENSG00000164904/ENSG00000198712/ENSG00000011376/ENSG00000156709/ENSG00000177192/ENSG00000156467/ENSG00000075415/ENSG00000119509/ENSG00000156873/ENSG00000136143/ENSG00000140740/ENSG00000127884/ENSG00000135900/ENSG00000103356/ENSG00000113946/ENSG00000164347/ENSG00000091140/ENSG00000168827/ENSG00000006530/ENSG00000040531/ENSG00000023228/ENSG00000114054/ENSG00000004864/ENSG00000163541/ENSG00000121897/ENSG00000198786/ENSG00000006695/ENSG00000150768/ENSG00000167113/ENSG00000148459/ENSG00000145982/ENSG00000156170/ENSG00000143919/ENSG00000140374/ENSG00000118965/ENSG00000103707/ENSG00000138095/ENSG00000108439/ENSG00000131844/ENSG00000006744/ENSG00000164182/ENSG00000171204/ENSG00000059691/ENSG00000114686/ENSG00000113790/ENSG00000072756/ENSG00000116874/ENSG00000107815/ENSG00000174173/ENSG00000113643/ENSG00000088682/ENSG00000101247/ENSG00000113845/ENSG00000175198/ENSG00000118246/ENSG00000133028
HP_ABNORMALITY_OF_THE_MITOCHONDRION	152	-0.418607744540444	-1.98401118923561	2.49021621260002e-07	6.34199476026575e-05	5.84545489905057e-05	3616	tags=43%, list=24%, signal=33%	ENSG00000151498/ENSG00000124172/ENSG00000257218/ENSG00000138035/ENSG00000126814/ENSG00000198804/ENSG00000198727/ENSG00000184752/ENSG00000198763/ENSG00000141385/ENSG00000130414/ENSG00000117118/ENSG00000181610/ENSG00000131828/ENSG00000198840/ENSG00000178741/ENSG00000168291/ENSG00000224877/ENSG00000164258/ENSG00000120948/ENSG00000250479/ENSG00000119013/ENSG00000130348/ENSG00000148290/ENSG00000198888/ENSG00000145494/ENSG00000123545/ENSG00000087470/ENSG00000158864/ENSG00000119421/ENSG00000198938/ENSG00000065427/ENSG00000110435/ENSG00000176410/ENSG00000168958/ENSG00000131368/ENSG00000168275/ENSG00000198712/ENSG00000165280/ENSG00000075415/ENSG00000136143/ENSG00000127884/ENSG00000103356/ENSG00000183735/ENSG00000091140/ENSG00000168827/ENSG00000040531/ENSG00000023228/ENSG00000132300/ENSG00000163541/ENSG00000198786/ENSG00000150768/ENSG00000182512/ENSG00000156170/ENSG00000143919/ENSG00000140374/ENSG00000103707/ENSG00000163754/ENSG00000138095/ENSG00000164182/ENSG00000171204/ENSG00000113790/ENSG00000107815/ENSG00000101247/ENSG00000113845/ENSG00000133028
HP_INCREASED_CSF_LACTATE	78	-0.518682173453141	-2.180110041557	2.58636355671585e-07	6.39866343931501e-05	5.8976867630134e-05	3503	tags=51%, list=23%, signal=40%	ENSG00000284194/ENSG00000138035/ENSG00000198804/ENSG00000074071/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000131828/ENSG00000198840/ENSG00000224877/ENSG00000146282/ENSG00000164258/ENSG00000155906/ENSG00000137513/ENSG00000119013/ENSG00000148290/ENSG00000198888/ENSG00000145494/ENSG00000123545/ENSG00000158864/ENSG00000119421/ENSG00000198938/ENSG00000110435/ENSG00000198712/ENSG00000156709/ENSG00000127884/ENSG00000164347/ENSG00000168827/ENSG00000023228/ENSG00000163541/ENSG00000198786/ENSG00000006695/ENSG00000156170/ENSG00000103707/ENSG00000138095/ENSG00000164182/ENSG00000171204/ENSG00000174173/ENSG00000101247/ENSG00000113845
HP_ABNORMAL_CSF_METABOLITE_LEVEL	95	-0.461170662330924	-2.01872815684512	3.56726416327053e-06	0.000572017414625177	0.000527231908107547	3503	tags=47%, list=23%, signal=37%	ENSG00000284194/ENSG00000138035/ENSG00000198804/ENSG00000074071/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000131828/ENSG00000198840/ENSG00000224877/ENSG00000146282/ENSG00000164258/ENSG00000155906/ENSG00000137513/ENSG00000119013/ENSG00000148290/ENSG00000198888/ENSG00000145494/ENSG00000123545/ENSG00000158864/ENSG00000119421/ENSG00000131979/ENSG00000198938/ENSG00000065427/ENSG00000110435/ENSG00000198712/ENSG00000156709/ENSG00000127884/ENSG00000183735/ENSG00000164347/ENSG00000168827/ENSG00000023228/ENSG00000163541/ENSG00000198786/ENSG00000006695/ENSG00000156170/ENSG00000153574/ENSG00000103707/ENSG00000138095/ENSG00000108439/ENSG00000164182/ENSG00000171204/ENSG00000174173/ENSG00000101247/ENSG00000113845
HP_ABNORMALITY_OF_RETINAL_PIGMENTATION	224	-0.350515797164582	-1.74784188223908	6.60471728363841e-06	0.00100333766594781	0.000924782390481005	3331	tags=36%, list=22%, signal=28%	ENSG00000113966/ENSG00000135541/ENSG00000132549/ENSG00000198804/ENSG00000119685/ENSG00000102931/ENSG00000165102/ENSG00000133422/ENSG00000184752/ENSG00000134982/ENSG00000123552/ENSG00000198763/ENSG00000130414/ENSG00000117118/ENSG00000011275/ENSG00000131779/ENSG00000122507/ENSG00000163818/ENSG00000139323/ENSG00000136875/ENSG00000131828/ENSG00000198840/ENSG00000163635/ENSG00000117360/ENSG00000079841/ENSG00000164258/ENSG00000173614/ENSG00000099246/ENSG00000081148/ENSG00000004961/ENSG00000188419/ENSG00000148290/ENSG00000198888/ENSG00000225830/ENSG00000096872/ENSG00000170264/ENSG00000090674/ENSG00000158864/ENSG00000175595/ENSG00000164073/ENSG00000188107/ENSG00000157796/ENSG00000169379/ENSG00000198938/ENSG00000154864/ENSG00000198712/ENSG00000181027/ENSG00000119509/ENSG00000127884/ENSG00000131174/ENSG00000125863/ENSG00000198515/ENSG00000110274/ENSG00000148606/ENSG00000161533/ENSG00000040531/ENSG00000127980/ENSG00000023228/ENSG00000204104/ENSG00000108395/ENSG00000124299/ENSG00000187240/ENSG00000198786/ENSG00000064313/ENSG00000156170/ENSG00000165533/ENSG00000112357/ENSG00000103707/ENSG00000164182/ENSG00000118217/ENSG00000138018/ENSG00000049167/ENSG00000125459/ENSG00000161217/ENSG00000101247/ENSG00000072210/ENSG00000142655/ENSG00000102218/ENSG00000157869/ENSG00000072121
HP_PIGMENTARY_RETINOPATHY	122	-0.411949101729951	-1.88737846101368	1.45401102586056e-05	0.00190761840498887	0.00175826341277109	3461	tags=41%, list=23%, signal=32%	ENSG00000113966/ENSG00000135541/ENSG00000132549/ENSG00000198804/ENSG00000133422/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000117118/ENSG00000122507/ENSG00000163818/ENSG00000131828/ENSG00000198840/ENSG00000163635/ENSG00000164258/ENSG00000081148/ENSG00000004961/ENSG00000148290/ENSG00000198888/ENSG00000225830/ENSG00000096872/ENSG00000170264/ENSG00000158864/ENSG00000175595/ENSG00000164073/ENSG00000188107/ENSG00000169379/ENSG00000198938/ENSG00000198712/ENSG00000181027/ENSG00000127884/ENSG00000131174/ENSG00000125863/ENSG00000198515/ENSG00000148606/ENSG00000161533/ENSG00000040531/ENSG00000127980/ENSG00000023228/ENSG00000108395/ENSG00000198786/ENSG00000156170/ENSG00000165533/ENSG00000103707/ENSG00000164182/ENSG00000049167/ENSG00000125459/ENSG00000101247/ENSG00000102218/ENSG00000072121
HP_OPTIC_DISC_PALLOR	123	-0.404666204221595	-1.85424081047349	1.88731442930873e-05	0.00230172614695554	0.00212151490037343	3050	tags=36%, list=20%, signal=29%	ENSG00000103249/ENSG00000123552/ENSG00000198763/ENSG00000141385/ENSG00000136875/ENSG00000198840/ENSG00000224877/ENSG00000186687/ENSG00000164258/ENSG00000164953/ENSG00000173614/ENSG00000198836/ENSG00000081148/ENSG00000116903/ENSG00000119013/ENSG00000198888/ENSG00000225830/ENSG00000170264/ENSG00000145494/ENSG00000123545/ENSG00000087470/ENSG00000158864/ENSG00000164073/ENSG00000188107/ENSG00000169379/ENSG00000130347/ENSG00000168958/ENSG00000156709/ENSG00000116688/ENSG00000131174/ENSG00000198515/ENSG00000081087/ENSG00000164347/ENSG00000127980/ENSG00000023228/ENSG00000170445/ENSG00000164182/ENSG00000171204/ENSG00000072756/ENSG00000049167/ENSG00000125459/ENSG00000101247/ENSG00000113845/ENSG00000089123
HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN	80	-0.465490164958139	-1.96512449916028	1.95829113260748e-05	0.00235511707184002	0.00217072563851314	3600	tags=48%, list=24%, signal=36%	ENSG00000124172/ENSG00000257218/ENSG00000126814/ENSG00000184752/ENSG00000198763/ENSG00000130414/ENSG00000117118/ENSG00000181610/ENSG00000131828/ENSG00000198840/ENSG00000178741/ENSG00000224877/ENSG00000164258/ENSG00000119013/ENSG00000130348/ENSG00000148290/ENSG00000198888/ENSG00000145494/ENSG00000123545/ENSG00000158864/ENSG00000119421/ENSG00000065427/ENSG00000131368/ENSG00000168275/ENSG00000136143/ENSG00000127884/ENSG00000103356/ENSG00000168827/ENSG00000023228/ENSG00000132300/ENSG00000163541/ENSG00000156170/ENSG00000103707/ENSG00000138095/ENSG00000164182/ENSG00000171204/ENSG00000101247/ENSG00000113845
