Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_HYPOXIA	144	0.599877939282436	2.8523678467633	3.67104983775921e-20	1.83552491887961e-18	1.35249204549024e-18	2563	tags=50%, list=17%, signal=42%	ENSG00000100075/ENSG00000177469/ENSG00000175197/ENSG00000164105/ENSG00000112715/ENSG00000111674/ENSG00000171791/ENSG00000168209/ENSG00000137700/ENSG00000141959/ENSG00000108479/ENSG00000117394/ENSG00000151640/ENSG00000128016/ENSG00000113739/ENSG00000105135/ENSG00000059804/ENSG00000138764/ENSG00000115548/ENSG00000185022/ENSG00000133805/ENSG00000122884/ENSG00000087074/ENSG00000119950/ENSG00000170525/ENSG00000102144/ENSG00000104765/ENSG00000075426/ENSG00000105220/ENSG00000111640/ENSG00000111669/ENSG00000067057/ENSG00000067082/ENSG00000134107/ENSG00000130635/ENSG00000079739/ENSG00000188994/ENSG00000143847/ENSG00000074800/ENSG00000072682/ENSG00000134769/ENSG00000104419/ENSG00000164776/ENSG00000147852/ENSG00000109046/ENSG00000168214/ENSG00000133424/ENSG00000119699/ENSG00000163516/ENSG00000108039/ENSG00000114023/ENSG00000134333/ENSG00000104812/ENSG00000120129/ENSG00000148926/ENSG00000025039/ENSG00000159399/ENSG00000177606/ENSG00000162433/ENSG00000067992/ENSG00000152256/ENSG00000145730/ENSG00000163659/ENSG00000197930/ENSG00000124357/ENSG00000100311/ENSG00000162772/ENSG00000100292/ENSG00000121966/ENSG00000170345/ENSG00000146278/ENSG00000113580
HALLMARK_MYC_TARGETS_V1	192	-0.483222663461476	-2.35423455195045	2.08711614333191e-13	5.21779035832978e-12	3.84468763245352e-12	3881	tags=51%, list=25%, signal=38%	ENSG00000108953/ENSG00000125870/ENSG00000106028/ENSG00000129084/ENSG00000178035/ENSG00000116649/ENSG00000141759/ENSG00000100632/ENSG00000103035/ENSG00000115942/ENSG00000110958/ENSG00000196419/ENSG00000100028/ENSG00000132341/ENSG00000114767/ENSG00000114942/ENSG00000138385/ENSG00000153187/ENSG00000143621/ENSG00000145912/ENSG00000109475/ENSG00000136527/ENSG00000074201/ENSG00000055130/ENSG00000112081/ENSG00000161547/ENSG00000096384/ENSG00000122566/ENSG00000154473/ENSG00000178741/ENSG00000215021/ENSG00000119335/ENSG00000106305/ENSG00000151247/ENSG00000204392/ENSG00000170144/ENSG00000150753/ENSG00000084774/ENSG00000100823/ENSG00000120948/ENSG00000089009/ENSG00000137154/ENSG00000125166/ENSG00000134308/ENSG00000136937/ENSG00000135624/ENSG00000101182/ENSG00000088205/ENSG00000115875/ENSG00000108561/ENSG00000182481/ENSG00000115241/ENSG00000048162/ENSG00000041357/ENSG00000144381/ENSG00000178952/ENSG00000065427/ENSG00000108424/ENSG00000170515/ENSG00000116251/ENSG00000084090/ENSG00000163938/ENSG00000075415/ENSG00000004779/ENSG00000166226/ENSG00000171490/ENSG00000048828/ENSG00000167088/ENSG00000101361/ENSG00000103342/ENSG00000106263/ENSG00000115541/ENSG00000110321/ENSG00000120438/ENSG00000196591/ENSG00000115233/ENSG00000173692/ENSG00000100519/ENSG00000142864/ENSG00000096063/ENSG00000114503/ENSG00000166197/ENSG00000181163/ENSG00000171793/ENSG00000169714/ENSG00000154174/ENSG00000115484/ENSG00000136045/ENSG00000092199/ENSG00000145907/ENSG00000155959/ENSG00000163468/ENSG00000165732/ENSG00000134001/ENSG00000120705/ENSG00000104131/ENSG00000164163
HALLMARK_MYC_TARGETS_V2	56	-0.575458057397202	-2.30001776600601	5.18012913211871e-07	8.63354855353119e-06	6.36156209207561e-06	2812	tags=52%, list=18%, signal=42%	ENSG00000136718/ENSG00000105447/ENSG00000076248/ENSG00000106305/ENSG00000136933/ENSG00000140263/ENSG00000053372/ENSG00000132382/ENSG00000120158/ENSG00000088205/ENSG00000112578/ENSG00000123545/ENSG00000048162/ENSG00000144381/ENSG00000170515/ENSG00000177192/ENSG00000163938/ENSG00000162851/ENSG00000101361/ENSG00000115541/ENSG00000156502/ENSG00000166197/ENSG00000052749/ENSG00000181163/ENSG00000124383/ENSG00000120800/ENSG00000185238/ENSG00000132603/ENSG00000163811
HALLMARK_MYOGENESIS	98	0.441274662738556	1.98503818648213	8.81934261034607e-06	0.000110241782629326	8.12307872005559e-05	2581	tags=34%, list=17%, signal=28%	ENSG00000120896/ENSG00000188157/ENSG00000196923/ENSG00000105221/ENSG00000113739/ENSG00000188130/ENSG00000100151/ENSG00000108840/ENSG00000136717/ENSG00000134107/ENSG00000068305/ENSG00000143847/ENSG00000196576/ENSG00000134769/ENSG00000196296/ENSG00000108639/ENSG00000133424/ENSG00000160752/ENSG00000099194/ENSG00000184489/ENSG00000105329/ENSG00000123096/ENSG00000196218/ENSG00000113070/ENSG00000143622/ENSG00000197321/ENSG00000121769/ENSG00000197694/ENSG00000130592/ENSG00000197879/ENSG00000177731/ENSG00000171867/ENSG00000184481
HALLMARK_OXIDATIVE_PHOSPHORYLATION	184	-0.367867981444668	-1.78324605212662	1.19764729633927e-05	0.000119764729633927	8.82476955197359e-05	2982	tags=35%, list=20%, signal=28%	ENSG00000141385/ENSG00000117118/ENSG00000164405/ENSG00000159199/ENSG00000154723/ENSG00000128609/ENSG00000131828/ENSG00000136888/ENSG00000178741/ENSG00000215021/ENSG00000168291/ENSG00000165688/ENSG00000110955/ENSG00000164258/ENSG00000198836/ENSG00000125166/ENSG00000004961/ENSG00000155097/ENSG00000119013/ENSG00000148290/ENSG00000116459/ENSG00000165264/ENSG00000091483/ENSG00000145494/ENSG00000154518/ENSG00000158864/ENSG00000119421/ENSG00000152234/ENSG00000132313/ENSG00000196177/ENSG00000110435/ENSG00000113013/ENSG00000156709/ENSG00000156467/ENSG00000075415/ENSG00000099800/ENSG00000004779/ENSG00000136143/ENSG00000140740/ENSG00000116688/ENSG00000127884/ENSG00000131174/ENSG00000047249/ENSG00000091140/ENSG00000100216/ENSG00000132305/ENSG00000156502/ENSG00000023228/ENSG00000014641/ENSG00000164919/ENSG00000134375/ENSG00000154174/ENSG00000163541/ENSG00000006695/ENSG00000181991/ENSG00000150768/ENSG00000140374/ENSG00000131269/ENSG00000138095/ENSG00000134809/ENSG00000112996/ENSG00000100575/ENSG00000172115/ENSG00000115840
HALLMARK_TNFA_SIGNALING_VIA_NFKB	162	0.354067555020412	1.71897430956321	7.20762251784425e-05	0.000514830179846018	0.00037934855357075	3888	tags=40%, list=26%, signal=30%	ENSG00000112715/ENSG00000125657/ENSG00000154640/ENSG00000179094/ENSG00000128016/ENSG00000059804/ENSG00000173039/ENSG00000078401/ENSG00000185022/ENSG00000160888/ENSG00000087074/ENSG00000132510/ENSG00000170525/ENSG00000075426/ENSG00000115919/ENSG00000162783/ENSG00000067082/ENSG00000134107/ENSG00000120875/ENSG00000275302/ENSG00000105835/ENSG00000158050/ENSG00000113070/ENSG00000120129/ENSG00000146232/ENSG00000107968/ENSG00000160223/ENSG00000168884/ENSG00000177606/ENSG00000172216/ENSG00000163659/ENSG00000034152/ENSG00000162616/ENSG00000163874/ENSG00000110944/ENSG00000120738/ENSG00000189067/ENSG00000161011/ENSG00000164949/ENSG00000116044/ENSG00000162772/ENSG00000110848/ENSG00000178860/ENSG00000170345/ENSG00000146278/ENSG00000132334/ENSG00000125740/ENSG00000173812/ENSG00000166949/ENSG00000155090/ENSG00000179388/ENSG00000142178/ENSG00000145901/ENSG00000131669/ENSG00000184371/ENSG00000159128/ENSG00000118503/ENSG00000069399/ENSG00000232810/ENSG00000171223/ENSG00000127528/ENSG00000122877/ENSG00000108932/ENSG00000144476
HALLMARK_GLYCOLYSIS	157	0.351578960840871	1.69147553148313	7.10137285338654e-05	0.000514830179846018	0.00037934855357075	2786	tags=32%, list=18%, signal=27%	ENSG00000188157/ENSG00000164105/ENSG00000112715/ENSG00000111674/ENSG00000168209/ENSG00000137700/ENSG00000108479/ENSG00000151640/ENSG00000141526/ENSG00000113739/ENSG00000140939/ENSG00000015532/ENSG00000178802/ENSG00000122884/ENSG00000119950/ENSG00000102144/ENSG00000067225/ENSG00000111669/ENSG00000067057/ENSG00000116260/ENSG00000130635/ENSG00000188994/ENSG00000143847/ENSG00000074800/ENSG00000072682/ENSG00000147852/ENSG00000163516/ENSG00000149260/ENSG00000114023/ENSG00000125398/ENSG00000134333/ENSG00000104812/ENSG00000061656/ENSG00000027847/ENSG00000025039/ENSG00000149541/ENSG00000159399/ENSG00000162433/ENSG00000057294/ENSG00000067992/ENSG00000145730/ENSG00000083444/ENSG00000197930/ENSG00000171314/ENSG00000144591/ENSG00000196262/ENSG00000121966/ENSG00000107902/ENSG00000112984/ENSG00000129521/ENSG00000113552
HALLMARK_P53_PATHWAY	163	0.316707251228035	1.54479454990473	0.000987992326930443	0.00617495204331527	0.00454996466349546	2657	tags=26%, list=17%, signal=22%	ENSG00000175197/ENSG00000129667/ENSG00000160271/ENSG00000177106/ENSG00000125657/ENSG00000168209/ENSG00000186350/ENSG00000100417/ENSG00000055163/ENSG00000187837/ENSG00000197562/ENSG00000087074/ENSG00000161513/ENSG00000162783/ENSG00000196576/ENSG00000100439/ENSG00000183696/ENSG00000104419/ENSG00000134574/ENSG00000120868/ENSG00000110651/ENSG00000185591/ENSG00000184205/ENSG00000114023/ENSG00000118308/ENSG00000105329/ENSG00000143819/ENSG00000174775/ENSG00000113070/ENSG00000185339/ENSG00000151012/ENSG00000171720/ENSG00000042445/ENSG00000177606/ENSG00000196743/ENSG00000181467/ENSG00000113328/ENSG00000099875/ENSG00000162772/ENSG00000100292/ENSG00000170345/ENSG00000168003/ENSG00000132334
HALLMARK_MITOTIC_SPINDLE	194	0.300360526495045	1.50184449120826	0.00144811078494292	0.00804505991634958	0.00592793888573127	3592	tags=36%, list=24%, signal=28%	ENSG00000100242/ENSG00000135476/ENSG00000170037/ENSG00000184640/ENSG00000092820/ENSG00000127824/ENSG00000137497/ENSG00000158195/ENSG00000136717/ENSG00000140451/ENSG00000089159/ENSG00000130479/ENSG00000149503/ENSG00000112877/ENSG00000179604/ENSG00000105443/ENSG00000161800/ENSG00000007047/ENSG00000136861/ENSG00000168397/ENSG00000124126/ENSG00000165699/ENSG00000165527/ENSG00000090924/ENSG00000099331/ENSG00000126214/ENSG00000165175/ENSG00000141577/ENSG00000143862/ENSG00000038382/ENSG00000079482/ENSG00000128159/ENSG00000141556/ENSG00000050820/ENSG00000166037/ENSG00000173327/ENSG00000141522/ENSG00000035928/ENSG00000197694/ENSG00000141551/ENSG00000101871/ENSG00000168061/ENSG00000126001/ENSG00000136237/ENSG00000094631/ENSG00000126756/ENSG00000079819/ENSG00000017797/ENSG00000157456/ENSG00000130640/ENSG00000126216/ENSG00000106665/ENSG00000159314/ENSG00000166851/ENSG00000131899/ENSG00000115839/ENSG00000164403/ENSG00000089820/ENSG00000136068/ENSG00000079616/ENSG00000169679/ENSG00000035403/ENSG00000117650/ENSG00000140983/ENSG00000142945/ENSG00000198901/ENSG00000151849/ENSG00000143776/ENSG00000170312
HALLMARK_CHOLESTEROL_HOMEOSTASIS	62	0.394077649295827	1.6321810854044	0.00491368317821336	0.0245684158910668	0.0181030432881545	4729	tags=50%, list=31%, signal=35%	ENSG00000198911/ENSG00000131981/ENSG00000134824/ENSG00000104823/ENSG00000160200/ENSG00000160285/ENSG00000132196/ENSG00000160752/ENSG00000099194/ENSG00000067992/ENSG00000132170/ENSG00000079459/ENSG00000162772/ENSG00000172893/ENSG00000146278/ENSG00000164111/ENSG00000131069/ENSG00000116663/ENSG00000167508/ENSG00000184009/ENSG00000169919/ENSG00000163191/ENSG00000101255/ENSG00000105755/ENSG00000213366/ENSG00000120437/ENSG00000010278/ENSG00000100600/ENSG00000163297/ENSG00000101384/ENSG00000110921
