Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA	338	-0.433113851905056	-2.26166381681587	1.73177051364056e-16	1.39234349296701e-13	1.19036436358662e-13	3906	tags=47%, list=26%, signal=36%	ENSG00000154760/ENSG00000174243/ENSG00000132153/ENSG00000171103/ENSG00000029639/ENSG00000171311/ENSG00000117419/ENSG00000139131/ENSG00000169718/ENSG00000166166/ENSG00000223496/ENSG00000100601/ENSG00000101347/ENSG00000255529/ENSG00000133706/ENSG00000102053/ENSG00000147592/ENSG00000204560/ENSG00000257218/ENSG00000150990/ENSG00000071462/ENSG00000138035/ENSG00000151014/ENSG00000067704/ENSG00000126814/ENSG00000079785/ENSG00000178718/ENSG00000100220/ENSG00000187024/ENSG00000124228/ENSG00000100697/ENSG00000134815/ENSG00000104356/ENSG00000174840/ENSG00000087995/ENSG00000173809/ENSG00000108592/ENSG00000145388/ENSG00000137574/ENSG00000138050/ENSG00000145331/ENSG00000168228/ENSG00000066651/ENSG00000146282/ENSG00000182810/ENSG00000135829/ENSG00000145996/ENSG00000100823/ENSG00000100413/ENSG00000137513/ENSG00000168101/ENSG00000165055/ENSG00000067596/ENSG00000130348/ENSG00000005100/ENSG00000145833/ENSG00000113360/ENSG00000120158/ENSG00000058600/ENSG00000088205/ENSG00000132773/ENSG00000136271/ENSG00000137054/ENSG00000160193/ENSG00000119203/ENSG00000065427/ENSG00000064703/ENSG00000140718/ENSG00000198231/ENSG00000171861/ENSG00000185163/ENSG00000144535/ENSG00000125630/ENSG00000122435/ENSG00000011376/ENSG00000104626/ENSG00000047188/ENSG00000177192/ENSG00000162927/ENSG00000117877/ENSG00000124787/ENSG00000141378/ENSG00000135900/ENSG00000148688/ENSG00000110060/ENSG00000162851/ENSG00000103356/ENSG00000168872/ENSG00000148606/ENSG00000123737/ENSG00000104907/ENSG00000162623/ENSG00000180917/ENSG00000113300/ENSG00000152464/ENSG00000156414/ENSG00000132664/ENSG00000151576/ENSG00000154743/ENSG00000179988/ENSG00000111364/ENSG00000021776/ENSG00000156502/ENSG00000080007/ENSG00000125485/ENSG00000086189/ENSG00000123600/ENSG00000163214/ENSG00000170445/ENSG00000083520/ENSG00000278053/ENSG00000037474/ENSG00000116120/ENSG00000144231/ENSG00000156976/ENSG00000147669/ENSG00000013503/ENSG00000162639/ENSG00000152944/ENSG00000067248/ENSG00000068654/ENSG00000130764/ENSG00000076043/ENSG00000127804/ENSG00000145982/ENSG00000155275/ENSG00000198874/ENSG00000164329/ENSG00000088930/ENSG00000169570/ENSG00000103707/ENSG00000047315/ENSG00000006744/ENSG00000145907/ENSG00000105849/ENSG00000103005/ENSG00000110367/ENSG00000198791/ENSG00000162971/ENSG00000059691/ENSG00000174953/ENSG00000113356/ENSG00000178694/ENSG00000163684/ENSG00000204394/ENSG00000072756/ENSG00000116874/ENSG00000137760/ENSG00000165732/ENSG00000174173/ENSG00000113643/ENSG00000108654/ENSG00000183665/ENSG00000178105/ENSG00000039123/ENSG00000101452/ENSG00000136932/ENSG00000277149
GOMF_ATP_HYDROLYSIS_ACTIVITY	277	-0.404162258236174	-2.06221500044696	1.05569369227293e-10	4.24388864293716e-08	3.62825253186432e-08	3679	tags=43%, list=24%, signal=33%	ENSG00000145375/ENSG00000170759/ENSG00000165916/ENSG00000074582/ENSG00000076242/ENSG00000204560/ENSG00000115423/ENSG00000166598/ENSG00000172716/ENSG00000150990/ENSG00000224411/ENSG00000079785/ENSG00000115020/ENSG00000124228/ENSG00000198887/ENSG00000133422/ENSG00000162669/ENSG00000134815/ENSG00000080503/ENSG00000141385/ENSG00000101350/ENSG00000173809/ENSG00000096384/ENSG00000087191/ENSG00000054523/ENSG00000109063/ENSG00000136888/ENSG00000187522/ENSG00000165115/ENSG00000164080/ENSG00000182810/ENSG00000135829/ENSG00000162129/ENSG00000150753/ENSG00000177200/ENSG00000278259/ENSG00000134452/ENSG00000163312/ENSG00000021574/ENSG00000067596/ENSG00000005100/ENSG00000145833/ENSG00000225830/ENSG00000135624/ENSG00000161057/ENSG00000204390/ENSG00000088205/ENSG00000138138/ENSG00000128908/ENSG00000136271/ENSG00000144381/ENSG00000162849/ENSG00000152234/ENSG00000102763/ENSG00000064703/ENSG00000198231/ENSG00000113013/ENSG00000165280/ENSG00000185163/ENSG00000047188/ENSG00000100888/ENSG00000004700/ENSG00000166226/ENSG00000186283/ENSG00000109971/ENSG00000125863/ENSG00000085224/ENSG00000168872/ENSG00000173208/ENSG00000156261/ENSG00000047249/ENSG00000115541/ENSG00000119778/ENSG00000156414/ENSG00000204388/ENSG00000120438/ENSG00000125885/ENSG00000070087/ENSG00000111364/ENSG00000146731/ENSG00000185842/ENSG00000100519/ENSG00000188342/ENSG00000021776/ENSG00000156502/ENSG00000153147/ENSG00000127980/ENSG00000080007/ENSG00000125485/ENSG00000080824/ENSG00000163214/ENSG00000143748/ENSG00000278053/ENSG00000120694/ENSG00000204389/ENSG00000156976/ENSG00000170606/ENSG00000067248/ENSG00000115484/ENSG00000163104/ENSG00000088727/ENSG00000064933/ENSG00000111877/ENSG00000117528/ENSG00000145907/ENSG00000175792/ENSG00000110367/ENSG00000163468/ENSG00000174953/ENSG00000165732/ENSG00000107815/ENSG00000119965/ENSG00000166813/ENSG00000108654/ENSG00000112249/ENSG00000138430/ENSG00000178105/ENSG00000039123/ENSG00000101452
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	114	-0.521616748465423	-2.3756813501042	2.73544469166404e-10	7.33099177365964e-08	6.26752766195305e-08	3864	tags=55%, list=25%, signal=42%	ENSG00000171103/ENSG00000139131/ENSG00000169718/ENSG00000166166/ENSG00000100601/ENSG00000133706/ENSG00000257218/ENSG00000067704/ENSG00000126814/ENSG00000178718/ENSG00000187024/ENSG00000104356/ENSG00000087995/ENSG00000138050/ENSG00000145331/ENSG00000066651/ENSG00000146282/ENSG00000145996/ENSG00000137513/ENSG00000165055/ENSG00000130348/ENSG00000160193/ENSG00000065427/ENSG00000140718/ENSG00000122435/ENSG00000011376/ENSG00000177192/ENSG00000162927/ENSG00000124787/ENSG00000141378/ENSG00000148688/ENSG00000110060/ENSG00000103356/ENSG00000104907/ENSG00000162623/ENSG00000152464/ENSG00000151576/ENSG00000154743/ENSG00000179988/ENSG00000123600/ENSG00000170445/ENSG00000037474/ENSG00000116120/ENSG00000130764/ENSG00000145982/ENSG00000155275/ENSG00000198874/ENSG00000169570/ENSG00000103707/ENSG00000006744/ENSG00000162971/ENSG00000059691/ENSG00000178694/ENSG00000163684/ENSG00000204394/ENSG00000072756/ENSG00000116874/ENSG00000137760/ENSG00000174173/ENSG00000113643/ENSG00000183665/ENSG00000136932/ENSG00000277149
GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING	142	-0.454374599277246	-2.12932212825799	3.51741816302455e-08	7.07001050767935e-06	6.04440542225009e-06	3347	tags=39%, list=22%, signal=31%	ENSG00000178982/ENSG00000136319/ENSG00000172766/ENSG00000063046/ENSG00000143183/ENSG00000089154/ENSG00000153187/ENSG00000162972/ENSG00000165525/ENSG00000076248/ENSG00000130349/ENSG00000153037/ENSG00000184110/ENSG00000135829/ENSG00000151131/ENSG00000082516/ENSG00000102103/ENSG00000005100/ENSG00000102317/ENSG00000108561/ENSG00000185728/ENSG00000143742/ENSG00000154059/ENSG00000104626/ENSG00000253626/ENSG00000148187/ENSG00000114784/ENSG00000167088/ENSG00000170473/ENSG00000142864/ENSG00000105821/ENSG00000138442/ENSG00000050426/ENSG00000198793/ENSG00000143748/ENSG00000166197/ENSG00000181163/ENSG00000132300/ENSG00000067248/ENSG00000168924/ENSG00000169251/ENSG00000103512/ENSG00000152332/ENSG00000100462/ENSG00000185238/ENSG00000164134/ENSG00000023734/ENSG00000108654/ENSG00000138430/ENSG00000151806/ENSG00000134001/ENSG00000120705/ENSG00000085760/ENSG00000164163/ENSG00000124571/ENSG00000113048
GOMF_HELICASE_ACTIVITY	141	-0.441835100420722	-2.07209830051104	4.44180508767992e-08	7.14242258098931e-06	6.10631309948418e-06	3904	tags=45%, list=26%, signal=34%	ENSG00000174243/ENSG00000132153/ENSG00000020922/ENSG00000166833/ENSG00000204560/ENSG00000172716/ENSG00000150990/ENSG00000196419/ENSG00000079785/ENSG00000124228/ENSG00000119969/ENSG00000100697/ENSG00000162669/ENSG00000134815/ENSG00000080503/ENSG00000173809/ENSG00000164080/ENSG00000182810/ENSG00000135829/ENSG00000177200/ENSG00000134452/ENSG00000163312/ENSG00000067596/ENSG00000005100/ENSG00000145833/ENSG00000225830/ENSG00000088205/ENSG00000121988/ENSG00000136271/ENSG00000064703/ENSG00000198231/ENSG00000185163/ENSG00000047188/ENSG00000100888/ENSG00000004700/ENSG00000085224/ENSG00000168872/ENSG00000156414/ENSG00000125885/ENSG00000111364/ENSG00000188342/ENSG00000021776/ENSG00000156502/ENSG00000153147/ENSG00000080007/ENSG00000125485/ENSG00000163214/ENSG00000278053/ENSG00000156976/ENSG00000067248/ENSG00000163104/ENSG00000111877/ENSG00000145907/ENSG00000175792/ENSG00000110367/ENSG00000079246/ENSG00000174953/ENSG00000165732/ENSG00000107815/ENSG00000108654/ENSG00000112249/ENSG00000178105/ENSG00000039123/ENSG00000101452
GOMF_SNORNA_BINDING	32	-0.676452498969571	-2.37849472207931	2.00183847380203e-07	2.68246355489472e-05	2.29333425156618e-05	3506	tags=72%, list=23%, signal=55%	ENSG00000150990/ENSG00000114767/ENSG00000087269/ENSG00000145912/ENSG00000136718/ENSG00000253729/ENSG00000109534/ENSG00000168101/ENSG00000112578/ENSG00000165609/ENSG00000130826/ENSG00000165733/ENSG00000101361/ENSG00000083635/ENSG00000117597/ENSG00000065183/ENSG00000166197/ENSG00000167721/ENSG00000108651/ENSG00000055044/ENSG00000119285/ENSG00000079246/ENSG00000165732
GOMF_MOLECULAR_CARRIER_ACTIVITY	54	-0.577750553320555	-2.30759762744576	3.74510673136271e-07	4.30152258859375e-05	3.67752585801482e-05	3522	tags=59%, list=23%, signal=46%	ENSG00000196497/ENSG00000124207/ENSG00000284194/ENSG00000151929/ENSG00000132341/ENSG00000149196/ENSG00000064419/ENSG00000025800/ENSG00000127463/ENSG00000130227/ENSG00000086200/ENSG00000182481/ENSG00000102753/ENSG00000169446/ENSG00000105576/ENSG00000108424/ENSG00000004779/ENSG00000109971/ENSG00000169180/ENSG00000136243/ENSG00000065150/ENSG00000131148/ENSG00000116288/ENSG00000114030/ENSG00000134809/ENSG00000137040/ENSG00000083312/ENSG00000186432/ENSG00000132953/ENSG00000100575/ENSG00000133028/ENSG00000124571
GOMF_NUCLEOCYTOPLASMIC_CARRIER_ACTIVITY	29	-0.685547556369635	-2.36053254692805	5.77511614001248e-07	5.15910375174448e-05	4.41070273617328e-05	3522	tags=72%, list=23%, signal=56%	ENSG00000196497/ENSG00000124207/ENSG00000132341/ENSG00000149196/ENSG00000064419/ENSG00000025800/ENSG00000130227/ENSG00000086200/ENSG00000182481/ENSG00000102753/ENSG00000105576/ENSG00000108424/ENSG00000169180/ENSG00000136243/ENSG00000065150/ENSG00000114030/ENSG00000137040/ENSG00000083312/ENSG00000186432/ENSG00000132953/ENSG00000124571
GOMF_ATP_DEPENDENT_ACTIVITY	430	-0.313343878739869	-1.67864801470653	5.55210551582152e-07	5.15910375174448e-05	4.41070273617328e-05	3816	tags=37%, list=25%, signal=28%	ENSG00000164292/ENSG00000165629/ENSG00000020922/ENSG00000166833/ENSG00000131100/ENSG00000145375/ENSG00000170759/ENSG00000165916/ENSG00000074582/ENSG00000076242/ENSG00000196584/ENSG00000204560/ENSG00000168389/ENSG00000115423/ENSG00000166598/ENSG00000172716/ENSG00000154262/ENSG00000150990/ENSG00000196419/ENSG00000100554/ENSG00000224411/ENSG00000079785/ENSG00000115020/ENSG00000124228/ENSG00000198887/ENSG00000119969/ENSG00000133422/ENSG00000100697/ENSG00000174844/ENSG00000103249/ENSG00000162669/ENSG00000166377/ENSG00000134815/ENSG00000080503/ENSG00000141385/ENSG00000101350/ENSG00000173809/ENSG00000147606/ENSG00000096384/ENSG00000133657/ENSG00000087191/ENSG00000054523/ENSG00000109063/ENSG00000136888/ENSG00000187522/ENSG00000165115/ENSG00000164080/ENSG00000118997/ENSG00000182810/ENSG00000135829/ENSG00000114770/ENSG00000110955/ENSG00000162129/ENSG00000150753/ENSG00000177200/ENSG00000050438/ENSG00000278259/ENSG00000174437/ENSG00000134452/ENSG00000163312/ENSG00000021574/ENSG00000067596/ENSG00000155097/ENSG00000005100/ENSG00000145833/ENSG00000225830/ENSG00000135624/ENSG00000161057/ENSG00000159720/ENSG00000204390/ENSG00000088205/ENSG00000138138/ENSG00000128908/ENSG00000121988/ENSG00000136271/ENSG00000144381/ENSG00000162849/ENSG00000152234/ENSG00000114573/ENSG00000102763/ENSG00000064703/ENSG00000198231/ENSG00000113013/ENSG00000165280/ENSG00000112697/ENSG00000185163/ENSG00000047188/ENSG00000100888/ENSG00000004700/ENSG00000166226/ENSG00000186283/ENSG00000109971/ENSG00000125863/ENSG00000085224/ENSG00000168872/ENSG00000173208/ENSG00000156261/ENSG00000047249/ENSG00000115541/ENSG00000085563/ENSG00000119778/ENSG00000156414/ENSG00000204388/ENSG00000145246/ENSG00000120438/ENSG00000125885/ENSG00000070087/ENSG00000111364/ENSG00000146731/ENSG00000185842/ENSG00000100519/ENSG00000188342/ENSG00000197102/ENSG00000021776/ENSG00000156502/ENSG00000153147/ENSG00000127980/ENSG00000080007/ENSG00000125485/ENSG00000080824/ENSG00000163214/ENSG00000143748/ENSG00000124574/ENSG00000154258/ENSG00000278053/ENSG00000120694/ENSG00000204389/ENSG00000156976/ENSG00000170606/ENSG00000067248/ENSG00000187240/ENSG00000115484/ENSG00000163104/ENSG00000088727/ENSG00000064933/ENSG00000111877/ENSG00000131269/ENSG00000162521/ENSG00000117528/ENSG00000145907/ENSG00000175792/ENSG00000110367/ENSG00000163468/ENSG00000079246/ENSG00000174953/ENSG00000187775/ENSG00000165732/ENSG00000107815/ENSG00000119965/ENSG00000165029/ENSG00000144452/ENSG00000166813/ENSG00000108654/ENSG00000112249/ENSG00000138430/ENSG00000178105/ENSG00000039123/ENSG00000101452
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	79	-0.503970257545992	-2.14742710235945	1.42844593436275e-06	0.000114847053122765	9.81868626461976e-05	4166	tags=57%, list=27%, signal=42%	ENSG00000100129/ENSG00000113742/ENSG00000130811/ENSG00000137449/ENSG00000156508/ENSG00000140598/ENSG00000104408/ENSG00000145191/ENSG00000178982/ENSG00000114942/ENSG00000063046/ENSG00000114867/ENSG00000089154/ENSG00000204574/ENSG00000119718/ENSG00000205609/ENSG00000151247/ENSG00000184110/ENSG00000175376/ENSG00000111361/ENSG00000178952/ENSG00000253626/ENSG00000114784/ENSG00000164347/ENSG00000103342/ENSG00000106263/ENSG00000107581/ENSG00000110321/ENSG00000112339/ENSG00000168827/ENSG00000135930/ENSG00000149100/ENSG00000070785/ENSG00000156976/ENSG00000067248/ENSG00000158417/ENSG00000100664/ENSG00000147677/ENSG00000232119/ENSG00000189369/ENSG00000134001/ENSG00000075151/ENSG00000120705/ENSG00000104131/ENSG00000085760
GOMF_TRNA_METHYLTRANSFERASE_ACTIVITY	32	-0.633204366732199	-2.22642867986191	4.27910874484763e-06	0.000301916781566959	0.000258119479396732	3864	tags=62%, list=25%, signal=47%	ENSG00000171103/ENSG00000166166/ENSG00000126814/ENSG00000087995/ENSG00000138050/ENSG00000145331/ENSG00000066651/ENSG00000165055/ENSG00000160193/ENSG00000122435/ENSG00000104907/ENSG00000162623/ENSG00000123600/ENSG00000037474/ENSG00000155275/ENSG00000178694/ENSG00000137760/ENSG00000174173/ENSG00000183665/ENSG00000136932
GOMF_UNFOLDED_PROTEIN_BINDING	92	-0.462134230747371	-2.03732077574181	4.50622062040237e-06	0.000301916781566959	0.000258119479396732	2991	tags=46%, list=20%, signal=37%	ENSG00000143256/ENSG00000141385/ENSG00000090520/ENSG00000096384/ENSG00000137094/ENSG00000188529/ENSG00000102595/ENSG00000187522/ENSG00000164953/ENSG00000150753/ENSG00000105993/ENSG00000135624/ENSG00000204390/ENSG00000120725/ENSG00000144381/ENSG00000140403/ENSG00000196531/ENSG00000113013/ENSG00000086619/ENSG00000166226/ENSG00000109971/ENSG00000125863/ENSG00000156261/ENSG00000115541/ENSG00000114650/ENSG00000204388/ENSG00000120438/ENSG00000146731/ENSG00000080824/ENSG00000136731/ENSG00000204389/ENSG00000181163/ENSG00000103423/ENSG00000086061/ENSG00000106993/ENSG00000144736/ENSG00000115484/ENSG00000155959/ENSG00000163468/ENSG00000155393/ENSG00000102218/ENSG00000069345
GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY	48	-0.563940139747334	-2.17153559795288	6.21444490210958e-06	0.000384339515484315	0.000328585629237049	3495	tags=58%, list=23%, signal=45%	ENSG00000104408/ENSG00000145191/ENSG00000178982/ENSG00000063046/ENSG00000114867/ENSG00000119718/ENSG00000205609/ENSG00000151247/ENSG00000184110/ENSG00000175376/ENSG00000111361/ENSG00000114784/ENSG00000106263/ENSG00000107581/ENSG00000110321/ENSG00000135930/ENSG00000149100/ENSG00000070785/ENSG00000156976/ENSG00000067248/ENSG00000158417/ENSG00000100664/ENSG00000147677/ENSG00000232119/ENSG00000134001/ENSG00000075151/ENSG00000104131/ENSG00000085760
GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_RNA	69	-0.487578980390224	-2.01503045793447	1.45486247606864e-05	0.000835506736256559	0.000714304659302871	3603	tags=55%, list=24%, signal=42%	ENSG00000174243/ENSG00000132153/ENSG00000204560/ENSG00000150990/ENSG00000079785/ENSG00000124228/ENSG00000134815/ENSG00000173809/ENSG00000182810/ENSG00000135829/ENSG00000067596/ENSG00000005100/ENSG00000145833/ENSG00000088205/ENSG00000136271/ENSG00000064703/ENSG00000198231/ENSG00000185163/ENSG00000047188/ENSG00000168872/ENSG00000156414/ENSG00000111364/ENSG00000021776/ENSG00000156502/ENSG00000080007/ENSG00000125485/ENSG00000163214/ENSG00000278053/ENSG00000156976/ENSG00000067248/ENSG00000145907/ENSG00000110367/ENSG00000174953/ENSG00000165732/ENSG00000108654/ENSG00000178105/ENSG00000039123/ENSG00000101452
GOMF_MRNA_BINDING	254	-0.335885386710617	-1.70818604909319	1.81142591204632e-05	0.000970924288856827	0.000830077979344734	4127	tags=40%, list=27%, signal=30%	ENSG00000003756/ENSG00000125445/ENSG00000113742/ENSG00000132361/ENSG00000165819/ENSG00000110700/ENSG00000125944/ENSG00000065978/ENSG00000129351/ENSG00000114391/ENSG00000137449/ENSG00000160679/ENSG00000162613/ENSG00000165119/ENSG00000197728/ENSG00000111605/ENSG00000102053/ENSG00000007392/ENSG00000147274/ENSG00000179218/ENSG00000228716/ENSG00000099622/ENSG00000151014/ENSG00000213079/ENSG00000147679/ENSG00000107164/ENSG00000163694/ENSG00000068784/ENSG00000138385/ENSG00000080608/ENSG00000099783/ENSG00000114867/ENSG00000153187/ENSG00000145912/ENSG00000136527/ENSG00000145388/ENSG00000197451/ENSG00000171863/ENSG00000104852/ENSG00000122566/ENSG00000135829/ENSG00000170144/ENSG00000150753/ENSG00000183570/ENSG00000143889/ENSG00000120948/ENSG00000082516/ENSG00000152518/ENSG00000100296/ENSG00000115053/ENSG00000138757/ENSG00000005100/ENSG00000136937/ENSG00000107929/ENSG00000115128/ENSG00000136231/ENSG00000108561/ENSG00000185728/ENSG00000115524/ENSG00000149187/ENSG00000163938/ENSG00000134644/ENSG00000171490/ENSG00000123737/ENSG00000110713/ENSG00000197381/ENSG00000167005/ENSG00000107581/ENSG00000176102/ENSG00000110321/ENSG00000178700/ENSG00000142864/ENSG00000021776/ENSG00000172172/ENSG00000114503/ENSG00000215417/ENSG00000169714/ENSG00000116288/ENSG00000177613/ENSG00000181991/ENSG00000048740/ENSG00000100320/ENSG00000122068/ENSG00000056586/ENSG00000092199/ENSG00000136381/ENSG00000198492/ENSG00000132463/ENSG00000145907/ENSG00000110367/ENSG00000174953/ENSG00000146676/ENSG00000047410/ENSG00000211460/ENSG00000023734/ENSG00000108654/ENSG00000161813/ENSG00000075151/ENSG00000120705/ENSG00000119707/ENSG00000124571/ENSG00000135870
GOMF_PHOSPHOLIPID_BINDING	329	0.302130431681295	1.60637675963132	2.47908949319788e-05	0.00124574247033193	0.00106502989411725	2890	tags=30%, list=19%, signal=25%	ENSG00000073605/ENSG00000004777/ENSG00000182487/ENSG00000122359/ENSG00000157734/ENSG00000096433/ENSG00000105559/ENSG00000169403/ENSG00000130703/ENSG00000158517/ENSG00000186635/ENSG00000137497/ENSG00000165178/ENSG00000181790/ENSG00000168556/ENSG00000100151/ENSG00000103066/ENSG00000159733/ENSG00000159363/ENSG00000106086/ENSG00000136286/ENSG00000137575/ENSG00000162341/ENSG00000154146/ENSG00000103365/ENSG00000146192/ENSG00000167851/ENSG00000185359/ENSG00000136059/ENSG00000196975/ENSG00000136717/ENSG00000133056/ENSG00000166289/ENSG00000117868/ENSG00000141580/ENSG00000072134/ENSG00000142208/ENSG00000128641/ENSG00000137841/ENSG00000159753/ENSG00000103202/ENSG00000161800/ENSG00000010322/ENSG00000140563/ENSG00000105963/ENSG00000187091/ENSG00000186815/ENSG00000130340/ENSG00000160460/ENSG00000182511/ENSG00000198873/ENSG00000124126/ENSG00000011405/ENSG00000164674/ENSG00000137501/ENSG00000063245/ENSG00000106266/ENSG00000128298/ENSG00000115687/ENSG00000158411/ENSG00000002330/ENSG00000078246/ENSG00000124772/ENSG00000079482/ENSG00000168994/ENSG00000125637/ENSG00000197321/ENSG00000100344/ENSG00000090020/ENSG00000204922/ENSG00000175662/ENSG00000157954/ENSG00000118960/ENSG00000130724/ENSG00000100365/ENSG00000073921/ENSG00000112335/ENSG00000172575/ENSG00000101464/ENSG00000177731/ENSG00000125447/ENSG00000188089/ENSG00000288602/ENSG00000139641/ENSG00000085449/ENSG00000042493/ENSG00000164111/ENSG00000104341/ENSG00000108518/ENSG00000143457/ENSG00000132718/ENSG00000166140/ENSG00000148158/ENSG00000113163/ENSG00000174307/ENSG00000086289/ENSG00000154358/ENSG00000147162/ENSG00000165861/ENSG00000119392
GOMF_RNA_METHYLTRANSFERASE_ACTIVITY	58	-0.50046955262173	-2.01426194175631	3.83617362633172e-05	0.00181428446798277	0.00155109682847964	3864	tags=55%, list=25%, signal=41%	ENSG00000171103/ENSG00000029639/ENSG00000166166/ENSG00000071462/ENSG00000126814/ENSG00000087995/ENSG00000108592/ENSG00000145388/ENSG00000137574/ENSG00000138050/ENSG00000145331/ENSG00000168228/ENSG00000066651/ENSG00000165055/ENSG00000160193/ENSG00000171861/ENSG00000122435/ENSG00000162851/ENSG00000104907/ENSG00000162623/ENSG00000180917/ENSG00000086189/ENSG00000123600/ENSG00000037474/ENSG00000162639/ENSG00000127804/ENSG00000155275/ENSG00000178694/ENSG00000137760/ENSG00000174173/ENSG00000183665/ENSG00000136932
GOMF_RNA_POLYMERASE_ACTIVITY	38	-0.568419275119536	-2.08147557973299	5.07526391639281e-05	0.00204025609438991	0.00174428807231816	2396	tags=45%, list=16%, signal=38%	ENSG00000100413/ENSG00000058600/ENSG00000137054/ENSG00000125630/ENSG00000117877/ENSG00000148606/ENSG00000132664/ENSG00000144231/ENSG00000147669/ENSG00000013503/ENSG00000152944/ENSG00000068654/ENSG00000164329/ENSG00000047315/ENSG00000105849/ENSG00000113356/ENSG00000072756
